,vf1,vf2,vc1,vc2,q1,q2,q3,q4,cg12,cg21,cg34,cg43,cl12,cl21,cl34,cl43
0,0,0,1,-1,6.402538047261052e-12,-6.331775755523674e-12,6.4014764232847516e-12,-6.329456069444825e-12,-2.8548170077015657e-12,-2.8548170077015657e-12,-2.853750496701538e-12,-2.853750496701538e-12,2.8548170077015657e-12,2.8548170077015657e-12,2.853750496701538e-12,2.853750496701538e-12
1,0,0,1,-1,6.402538047261047e-12,-6.331775755523673e-12,6.401476423284746e-12,-6.329456069444808e-12,-2.8548170077015653e-12,-2.8548170077015653e-12,-2.8537504967015385e-12,-2.8537504967015385e-12,2.8548170077015653e-12,2.8548170077015653e-12,2.8537504967015385e-12,2.8537504967015385e-12
2,10,0,1,-1,5.12311434018804e-12,-6.479142911876985e-12,6.229240968914688e-12,-6.361264603759608e-12,-2.8548170077015657e-12,-2.8548170077015657e-12,-2.8537504967015377e-12,-2.8537504967015377e-12,2.8548170077015657e-12,2.8548170077015657e-12,2.8537504967015377e-12,2.8537504967015377e-12
3,20,0,1,-1,3.8436907473935274e-12,-6.626510080750813e-12,6.057005622261008e-12,-6.393073163128603e-12,-2.8548170077015653e-12,-2.8548170077015653e-12,-2.8537504967015377e-12,-2.853750496701538e-12,2.8548170077015653e-12,2.8548170077015653e-12,2.8537504967015377e-12,2.853750496701538e-12
4,30,0,1,-1,2.564267155657596e-12,-6.773877252209102e-12,5.884770281489615e-12,-6.42488172522135e-12,-2.8548170077015653e-12,-2.8548170077015653e-12,-2.8537504967015373e-12,-2.8537504967015377e-12,2.8548170077015653e-12,2.8548170077015653e-12,2.8537504967015373e-12,2.8537504967015377e-12
5,40,0,1,-1,1.2848435635573501e-12,-6.9212444241220906e-12,5.712534941696124e-12,-6.456690287790184e-12,-2.8548170077015653e-12,-2.8548170077015653e-12,-2.8537504967015377e-12,-2.8537504967015377e-12,2.8548170077015653e-12,2.8548170077015653e-12,2.8537504967015377e-12,2.8537504967015377e-12
6,50,0,1,-1,5.41997122500151e-15,-7.068611596168791e-12,5.540299602212479e-12,-6.488498850503546e-12,-2.8548170077015657e-12,-2.8548170077015657e-12,-2.8537504967015377e-12,-2.8537504967015377e-12,2.8548170077015657e-12,2.8548170077015657e-12,2.8537504967015377e-12,2.8537504967015377e-12
7,60,0,1,-1,-1.2740036212442736e-12,-7.215978768267323e-12,5.368064262861919e-12,-6.520307413275296e-12,-2.8548170077015653e-12,-2.8548170077015653e-12,-2.853750496701538e-12,-2.8537504967015377e-12,2.8548170077015653e-12,2.8548170077015653e-12,2.853750496701538e-12,2.8537504967015377e-12
8,70,0,1,-1,-2.5534272137987713e-12,-7.363345940389528e-12,5.195828923579512e-12,-6.552115976075186e-12,-2.8548170077015653e-12,-2.8548170077015653e-12,-2.853750496701538e-12,-2.8537504967015385e-12,2.8548170077015653e-12,2.8548170077015653e-12,2.853750496701538e-12,2.8537504967015385e-12
9,80,0,1,-1,-3.832850806409251e-12,-7.510713112524057e-12,5.023593584336459e-12,-6.5839245388903055e-12,-2.8548170077015657e-12,-2.8548170077015653e-12,-2.8537504967015377e-12,-2.8537504967015377e-12,2.8548170077015657e-12,2.8548170077015653e-12,2.8537504967015377e-12,2.8537504967015377e-12
10,90,0,1,-1,-5.112274399058411e-12,-7.658080284665347e-12,4.851358245117938e-12,-6.6157331017143895e-12,-2.8548170077015653e-12,-2.8548170077015653e-12,-2.853750496701538e-12,-2.8537504967015377e-12,2.8548170077015653e-12,2.8548170077015653e-12,2.853750496701538e-12,2.8537504967015377e-12
11,100,0,1,-1,-6.391697991735312e-12,-7.805447456810747e-12,4.679122905915776e-12,-6.647541664544106e-12,-2.8548170077015653e-12,-2.8548170077015653e-12,-2.8537504967015373e-12,-2.8537504967015377e-12,2.8548170077015653e-12,2.8548170077015653e-12,2.8537504967015373e-12,2.8537504967015377e-12
