second,input,output,,
0,8.64E+00,1.35E-01,,
0.0005,8.70E+00,1.34E-01,,
0.001,8.64E+00,1.34E-01,,
0.0015,8.64E+00,1.34E-01,,
0.002,8.58E+00,1.34E-01,,
0.0025,8.51E+00,1.34E-01,,
0.003,8.45E+00,1.34E-01,,
0.0035,8.45E+00,1.34E-01,,
0.004,8.39E+00,1.34E-01,,
0.0045,8.33E+00,1.34E-01,,
0.005,8.14E+00,1.34E-01,,
0.0055,8.14E+00,1.34E-01,,
0.006,7.95E+00,1.35E-01,,
0.0065,7.89E+00,1.34E-01,,
0.007,7.76E+00,1.34E-01,,
0.0075,7.70E+00,1.34E-01,,
0.008,7.58E+00,1.35E-01,,
0.0085,7.45E+00,1.34E-01,,
0.009,7.33E+00,1.34E-01,,
0.0095,7.14E+00,1.34E-01,,
0.01,7.01E+00,1.34E-01,,
0.0105,6.89E+00,1.34E-01,,
0.011,6.76E+00,1.34E-01,,
0.0115,6.64E+00,1.34E-01,,
0.012,6.45E+00,1.34E-01,,
0.0125,6.20E+00,1.34E-01,,
0.013,6.14E+00,1.34E-01,,
0.0135,5.89E+00,1.34E-01,,
0.014,5.76E+00,1.34E-01,,
0.0145,5.58E+00,1.34E-01,,
0.015,5.45E+00,1.34E-01,,
0.0155,5.20E+00,1.34E-01,,
0.016,5.08E+00,1.34E-01,,
0.0165,4.95E+00,1.34E-01,,
0.017,4.64E+00,1.34E-01,,
0.0175,4.51E+00,1.34E-01,,
0.018,4.33E+00,1.34E-01,,
0.0185,4.08E+00,1.34E-01,,
0.019,4.08E+00,1.34E-01,,
0.0195,3.83E+00,1.34E-01,,
0.02,3.64E+00,1.34E-01,,
0.0205,3.58E+00,1.34E-01,,
0.021,3.39E+00,1.34E-01,,
0.0215,3.20E+00,1.34E-01,,
0.022,3.01E+00,1.34E-01,,
0.0225,2.89E+00,1.34E-01,,
0.023,2.70E+00,1.34E-01,,
0.0235,2.51E+00,1.34E-01,,
0.024,2.51E+00,1.34E-01,,
0.0245,2.39E+00,1.34E-01,,
0.025,2.20E+00,1.34E-01,,
0.0255,2.14E+00,1.34E-01,,
0.026,2.01E+00,1.34E-01,,
0.0265,2.01E+00,1.34E-01,,
0.027,1.89E+00,1.34E-01,,
0.0275,1.76E+00,1.34E-01,,
0.028,1.58E+00,1.34E-01,,
0.0285,1.58E+00,1.34E-01,,
0.029,1.51E+00,1.34E-01,,
0.0295,1.45E+00,1.34E-01,,
0.03,1.45E+00,1.34E-01,,
0.0305,1.39E+00,1.34E-01,,
0.031,1.39E+00,1.34E-01,,
0.0315,1.26E+00,1.34E-01,,
0.032,1.33E+00,1.34E-01,,
0.0325,1.20E+00,1.34E-01,,
0.033,1.26E+00,1.34E-01,,
0.0335,1.26E+00,1.34E-01,,
0.034,1.26E+00,1.34E-01,,
0.0345,1.33E+00,1.34E-01,,
0.035,1.39E+00,1.34E-01,,
0.0355,1.33E+00,1.34E-01,,
0.036,1.51E+00,1.34E-01,,
0.0365,1.45E+00,1.34E-01,,
0.037,1.58E+00,1.34E-01,,
0.0375,1.64E+00,1.34E-01,,
0.038,1.70E+00,1.34E-01,,
0.0385,1.83E+00,1.34E-01,,
0.039,1.89E+00,1.34E-01,,
0.0395,1.95E+00,1.34E-01,,
0.04,2.14E+00,1.34E-01,,
0.0405,2.20E+00,1.34E-01,,
0.041,2.26E+00,1.34E-01,,
0.0415,2.51E+00,1.34E-01,,
0.042,2.64E+00,1.34E-01,,
0.0425,2.76E+00,1.34E-01,,
0.043,2.89E+00,1.34E-01,,
0.0435,2.95E+00,1.34E-01,,
0.044,3.14E+00,1.34E-01,,
0.0445,3.33E+00,1.34E-01,,
0.045,3.45E+00,1.34E-01,,
0.0455,3.51E+00,1.34E-01,,
0.046,3.76E+00,1.34E-01,,
0.0465,3.95E+00,1.34E-01,,
0.047,4.14E+00,1.34E-01,,
0.0475,4.26E+00,1.34E-01,,
0.048,4.45E+00,1.34E-01,,
0.0485,4.70E+00,1.34E-01,,
0.049,4.83E+00,1.34E-01,,
0.0495,5.08E+00,1.34E-01,,
0.05,5.20E+00,1.34E-01,,
0.0505,5.33E+00,1.34E-01,,
0.051,5.58E+00,1.34E-01,,
0.0515,5.64E+00,1.34E-01,,
0.052,5.89E+00,1.34E-01,,
0.0525,6.08E+00,1.34E-01,,
0.053,6.20E+00,1.34E-01,,
0.0535,6.39E+00,1.34E-01,,
0.054,6.51E+00,1.34E-01,,
0.0545,6.70E+00,1.34E-01,,
0.055,6.89E+00,1.34E-01,,
