second,input,output
0,5.33E+00,1.34E-01
2.00E-05,5.45E+00,1.34E-01
4.00E-05,5.58E+00,1.33E-01
6.00E-05,5.70E+00,1.33E-01
8.00E-05,5.89E+00,1.33E-01
1.00E-04,6.01E+00,1.33E-01
0.00012,6.14E+00,1.33E-01
0.00014,6.33E+00,1.33E-01
0.00016,6.45E+00,1.32E-01
0.00018,6.58E+00,1.32E-01
0.0002,6.70E+00,1.31E-01
0.00022,6.83E+00,1.31E-01
0.00024,6.89E+00,1.32E-01
0.00026,7.01E+00,1.32E-01
0.00028,7.20E+00,1.31E-01
0.0003,7.26E+00,1.31E-01
0.00032,7.39E+00,1.31E-01
0.00034,7.45E+00,1.31E-01
0.00036,7.58E+00,1.31E-01
0.00038,7.64E+00,1.30E-01
0.0004,7.76E+00,1.30E-01
0.00042,7.83E+00,1.30E-01
0.00044,7.95E+00,1.30E-01
0.00046,7.95E+00,1.30E-01
0.00048,8.08E+00,1.30E-01
0.0005,8.14E+00,1.29E-01
0.00052,8.26E+00,1.29E-01
0.00054,8.33E+00,1.29E-01
0.00056,8.39E+00,1.29E-01
0.00058,8.45E+00,1.28E-01
0.0006,8.45E+00,1.29E-01
0.00062,8.51E+00,1.29E-01
0.00064,8.64E+00,1.29E-01
0.00066,8.58E+00,1.29E-01
0.00068,8.64E+00,1.29E-01
0.0007,8.64E+00,1.29E-01
0.00072,8.64E+00,1.29E-01
0.00074,8.70E+00,1.28E-01
0.00076,8.70E+00,1.28E-01
0.00078,8.76E+00,1.28E-01
0.0008,8.76E+00,1.28E-01
0.00082,8.70E+00,1.28E-01
0.00084,8.64E+00,1.29E-01
0.00086,8.64E+00,1.28E-01
0.00088,8.64E+00,1.28E-01
0.0009,8.70E+00,1.28E-01
0.00092,8.58E+00,1.29E-01
0.00094,8.58E+00,1.28E-01
0.00096,8.45E+00,1.28E-01
0.00098,8.39E+00,1.29E-01
0.001,8.45E+00,1.29E-01
0.00102,8.33E+00,1.29E-01
0.00104,8.26E+00,1.29E-01
0.00106,8.20E+00,1.29E-01
0.00108,8.20E+00,1.29E-01
0.0011,8.08E+00,1.29E-01
0.00112,8.01E+00,1.29E-01
0.00114,7.89E+00,1.29E-01
0.00116,7.83E+00,1.30E-01
0.00118,7.76E+00,1.30E-01
0.0012,7.70E+00,1.30E-01
0.00122,7.51E+00,1.30E-01
0.00124,7.39E+00,1.30E-01
0.00126,7.33E+00,1.30E-01
0.00128,7.20E+00,1.30E-01
0.0013,7.08E+00,1.31E-01
0.00132,7.01E+00,1.31E-01
0.00134,6.89E+00,1.31E-01
0.00136,6.76E+00,1.31E-01
0.00138,6.58E+00,1.31E-01
0.0014,6.51E+00,1.32E-01
0.00142,6.39E+00,1.32E-01
0.00144,6.26E+00,1.32E-01
0.00146,6.14E+00,1.32E-01
0.00148,6.01E+00,1.32E-01
0.0015,5.83E+00,1.33E-01
0.00152,5.83E+00,1.32E-01
0.00154,5.58E+00,1.33E-01
0.00156,5.45E+00,1.33E-01
0.00158,5.26E+00,1.33E-01
0.0016,5.14E+00,1.33E-01
0.00162,5.08E+00,1.34E-01
0.00164,4.89E+00,1.34E-01
0.00166,4.70E+00,1.34E-01
0.00168,4.58E+00,1.35E-01
0.0017,4.39E+00,1.35E-01
0.00172,4.26E+00,1.35E-01
0.00174,4.20E+00,1.35E-01
0.00176,4.01E+00,1.35E-01
0.00178,3.89E+00,1.35E-01
0.0018,3.76E+00,1.36E-01
0.00182,3.58E+00,1.35E-01
0.00184,3.45E+00,1.36E-01
0.00186,3.39E+00,1.36E-01
0.00188,3.26E+00,1.36E-01
0.0019,3.08E+00,1.37E-01
0.00192,2.95E+00,1.37E-01
0.00194,2.89E+00,1.37E-01
0.00196,2.76E+00,1.37E-01
0.00198,2.64E+00,1.38E-01
0.002,2.51E+00,1.38E-01
0.00202,2.45E+00,1.38E-01
0.00204,2.45E+00,1.39E-01
0.00206,2.20E+00,1.39E-01
0.00208,2.14E+00,1.37E-01
0.0021,2.08E+00,1.38E-01
0.00212,2.01E+00,1.39E-01
0.00214,1.95E+00,1.39E-01
0.00216,1.83E+00,1.39E-01
0.00218,1.76E+00,1.39E-01
0.0022,1.70E+00,1.39E-01
0.00222,1.70E+00,1.39E-01
0.00224,1.58E+00,1.39E-01
0.00226,1.51E+00,1.39E-01
0.00228,1.45E+00,1.39E-01
0.0023,1.45E+00,1.40E-01
0.00232,1.33E+00,1.40E-01
0.00234,1.39E+00,1.39E-01
0.00236,1.33E+00,1.39E-01
0.00238,1.33E+00,1.39E-01
0.0024,1.26E+00,1.40E-01
0.00242,1.33E+00,1.40E-01
0.00244,1.26E+00,1.40E-01
0.00246,1.26E+00,1.40E-01
0.00248,1.26E+00,1.40E-01
0.0025,1.26E+00,1.40E-01
0.00252,1.39E+00,1.40E-01
0.00254,1.33E+00,1.40E-01
0.00256,1.39E+00,1.39E-01
0.00258,1.39E+00,1.40E-01
0.0026,1.39E+00,1.40E-01
0.00262,1.39E+00,1.40E-01
0.00264,1.51E+00,1.40E-01
0.00266,1.51E+00,1.39E-01
0.00268,1.58E+00,1.39E-01
0.0027,1.76E+00,1.39E-01
0.00272,1.76E+00,1.39E-01
0.00274,1.83E+00,1.40E-01
0.00276,1.89E+00,1.39E-01
0.00278,2.01E+00,1.39E-01
0.0028,2.08E+00,1.39E-01
0.00282,2.20E+00,1.39E-01
0.00284,2.26E+00,1.39E-01
0.00286,2.33E+00,1.38E-01
0.00288,2.33E+00,1.38E-01
0.0029,2.51E+00,1.38E-01
0.00292,2.58E+00,1.37E-01
0.00294,2.70E+00,1.37E-01
0.00296,2.83E+00,1.38E-01
0.00298,2.95E+00,1.37E-01
0.003,3.08E+00,1.37E-01
0.00302,3.20E+00,1.37E-01
0.00304,3.33E+00,1.37E-01
0.00306,3.45E+00,1.37E-01
0.00308,3.58E+00,1.36E-01
0.0031,3.76E+00,1.36E-01
0.00312,3.83E+00,1.36E-01
0.00314,3.95E+00,1.35E-01
0.00316,4.14E+00,1.35E-01
0.00318,4.20E+00,1.35E-01
0.0032,4.39E+00,1.35E-01
0.00322,4.51E+00,1.35E-01
0.00324,4.64E+00,1.35E-01
0.00326,4.83E+00,1.35E-01
0.00328,4.95E+00,1.34E-01
0.0033,5.08E+00,1.34E-01
0.00332,5.20E+00,1.34E-01
0.00334,5.39E+00,1.34E-01
0.00336,5.51E+00,1.34E-01
0.00338,5.76E+00,1.34E-01
0.0034,5.70E+00,1.33E-01
0.00342,5.89E+00,1.33E-01
0.00344,6.01E+00,1.33E-01
0.00346,6.14E+00,1.32E-01
0.00348,6.33E+00,1.32E-01
0.0035,6.45E+00,1.33E-01
0.00352,6.58E+00,1.32E-01
0.00354,6.64E+00,1.32E-01
0.00356,6.83E+00,1.31E-01
0.00358,6.95E+00,1.31E-01
0.0036,7.08E+00,1.31E-01
0.00362,7.20E+00,1.31E-01
0.00364,7.26E+00,1.31E-01
0.00366,7.45E+00,1.30E-01
0.00368,7.51E+00,1.31E-01
0.0037,7.58E+00,1.31E-01
0.00372,7.70E+00,1.30E-01
0.00374,7.83E+00,1.29E-01
0.00376,7.83E+00,1.30E-01
0.00378,8.08E+00,1.30E-01
0.0038,8.01E+00,1.30E-01
0.00382,8.14E+00,1.29E-01
0.00384,8.20E+00,1.29E-01
0.00386,8.26E+00,1.29E-01
0.00388,8.39E+00,1.29E-01
0.0039,8.39E+00,1.29E-01
0.00392,8.39E+00,1.29E-01
0.00394,8.51E+00,1.29E-01
0.00396,8.51E+00,1.29E-01
0.00398,8.58E+00,1.29E-01
0.004,8.58E+00,1.29E-01
0.00402,8.64E+00,1.29E-01
0.00404,8.64E+00,1.29E-01
0.00406,8.64E+00,1.29E-01
0.00408,8.70E+00,1.28E-01
0.0041,8.70E+00,1.28E-01
0.00412,8.70E+00,1.28E-01
0.00414,8.64E+00,1.28E-01
0.00416,8.70E+00,1.28E-01
0.00418,8.70E+00,1.28E-01
0.0042,8.64E+00,1.28E-01
0.00422,8.70E+00,1.28E-01
0.00424,8.51E+00,1.28E-01
0.00426,8.58E+00,1.29E-01
