in Sa,Frequency in Hz,Gain in dB,Phase in °,Amplitude in Vpp
1.00E+00,1.000E+01,-3.921E+01,7.680E+01,2.500E+00
2.00E+00,1.047E+01,-3.986E+01,8.089E+01,2.500E+00
3.00E+00,1.096E+01,-3.917E+01,8.285E+01,2.500E+00
4.00E+00,1.148E+01,-3.706E+01,7.940E+01,2.500E+00
5.00E+00,1.202E+01,-3.759E+01,7.790E+01,2.500E+00
6.00E+00,1.259E+01,-3.724E+01,7.549E+01,2.500E+00
7.00E+00,1.318E+01,-3.733E+01,7.648E+01,2.500E+00
8.00E+00,1.380E+01,-3.693E+01,7.871E+01,2.500E+00
9.00E+00,1.445E+01,-3.648E+01,8.200E+01,2.500E+00
1.00E+01,1.514E+01,-3.645E+01,7.834E+01,2.500E+00
1.10E+01,1.585E+01,-3.511E+01,8.072E+01,2.500E+00
1.20E+01,1.660E+01,-3.541E+01,7.652E+01,2.500E+00
1.30E+01,1.738E+01,-3.513E+01,7.873E+01,2.500E+00
1.40E+01,1.820E+01,-3.386E+01,7.709E+01,2.500E+00
1.50E+01,1.905E+01,-3.485E+01,7.783E+01,2.500E+00
1.60E+01,1.995E+01,-3.429E+01,7.457E+01,2.500E+00
1.70E+01,2.089E+01,-3.371E+01,8.331E+01,2.500E+00
1.80E+01,2.188E+01,-3.292E+01,7.740E+01,2.500E+00
1.90E+01,2.291E+01,-3.311E+01,7.477E+01,2.500E+00
2.00E+01,2.399E+01,-3.234E+01,8.041E+01,2.500E+00
2.10E+01,2.512E+01,-3.207E+01,7.741E+01,2.500E+00
2.20E+01,2.630E+01,-3.167E+01,8.095E+01,2.500E+00
2.30E+01,2.754E+01,-3.125E+01,8.156E+01,2.500E+00
2.40E+01,2.884E+01,-3.054E+01,8.018E+01,2.500E+00
2.50E+01,3.020E+01,-3.097E+01,7.694E+01,2.500E+00
2.60E+01,3.162E+01,-3.058E+01,7.912E+01,2.500E+00
2.70E+01,3.311E+01,-3.014E+01,7.980E+01,2.500E+00
2.80E+01,3.467E+01,-2.972E+01,8.003E+01,2.500E+00
2.90E+01,3.631E+01,-2.919E+01,8.077E+01,2.500E+00
3.00E+01,3.802E+01,-2.917E+01,7.767E+01,2.500E+00
3.10E+01,3.981E+01,-2.852E+01,8.114E+01,2.500E+00
3.20E+01,4.169E+01,-2.883E+01,8.024E+01,2.500E+00
3.30E+01,4.365E+01,-2.819E+01,7.888E+01,2.500E+00
3.40E+01,4.571E+01,-2.763E+01,7.952E+01,2.500E+00
3.50E+01,4.786E+01,-2.728E+01,7.976E+01,2.500E+00
3.60E+01,5.012E+01,-2.654E+01,8.203E+01,2.500E+00
3.70E+01,5.248E+01,-2.663E+01,8.010E+01,2.500E+00
3.80E+01,5.495E+01,-2.598E+01,8.108E+01,2.500E+00
3.90E+01,5.754E+01,-2.563E+01,7.911E+01,2.500E+00
4.00E+01,6.026E+01,-2.531E+01,8.108E+01,2.500E+00
4.10E+01,6.310E+01,-2.520E+01,8.166E+01,2.500E+00
4.20E+01,6.607E+01,-2.466E+01,8.238E+01,2.500E+00
4.30E+01,6.918E+01,-2.449E+01,8.101E+01,2.500E+00
4.40E+01,7.244E+01,-2.386E+01,8.079E+01,2.500E+00
4.50E+01,7.586E+01,-2.368E+01,8.116E+01,2.500E+00
4.60E+01,7.943E+01,-2.292E+01,8.211E+01,2.500E+00
4.70E+01,8.318E+01,-2.263E+01,8.032E+01,2.500E+00
4.80E+01,8.710E+01,-2.241E+01,7.882E+01,2.500E+00
4.90E+01,9.120E+01,-2.206E+01,8.084E+01,2.500E+00
5.00E+01,9.550E+01,-2.148E+01,8.055E+01,2.500E+00
5.10E+01,1.000E+02,-2.125E+01,8.099E+01,2.500E+00
5.20E+01,1.047E+02,-2.098E+01,7.998E+01,2.500E+00
5.30E+01,1.096E+02,-2.041E+01,8.044E+01,2.500E+00
5.40E+01,1.148E+02,-2.015E+01,8.013E+01,2.500E+00
5.50E+01,1.202E+02,-1.984E+01,8.163E+01,2.500E+00
5.60E+01,1.259E+02,-1.933E+01,8.098E+01,2.500E+00
5.70E+01,1.318E+02,-1.886E+01,8.014E+01,2.500E+00
