in Sa,Frequency in Hz,Gain in dB,Phase in °,Amplitude in Vpp
1.00E+00,1.000E+01,-5.973E+01,1.391E+02,2.500E+00
2.00E+00,1.047E+01,-5.948E+01,1.452E+02,2.500E+00
3.00E+00,1.096E+01,-5.844E+01,1.471E+02,2.500E+00
4.00E+00,1.148E+01,-5.787E+01,1.451E+02,2.500E+00
5.00E+00,1.202E+01,-5.856E+01,1.421E+02,2.500E+00
6.00E+00,1.259E+01,-5.939E+01,1.405E+02,2.500E+00
7.00E+00,1.318E+01,-5.958E+01,1.367E+02,2.500E+00
8.00E+00,1.380E+01,-5.894E+01,1.333E+02,2.500E+00
9.00E+00,1.445E+01,-5.767E+01,1.329E+02,2.500E+00
1.00E+01,1.514E+01,-5.943E+01,1.270E+02,2.500E+00
1.10E+01,1.585E+01,-5.773E+01,1.336E+02,2.500E+00
1.20E+01,1.660E+01,-5.787E+01,1.187E+02,2.500E+00
1.30E+01,1.738E+01,-5.733E+01,1.211E+02,2.500E+00
1.40E+01,1.820E+01,-5.338E+01,1.125E+02,2.500E+00
1.50E+01,1.905E+01,-5.743E+01,1.240E+02,2.500E+00
1.60E+01,1.995E+01,-5.836E+01,1.238E+02,2.500E+00
1.70E+01,2.089E+01,-5.627E+01,1.210E+02,2.500E+00
1.80E+01,2.188E+01,-5.609E+01,1.209E+02,2.500E+00
1.90E+01,2.291E+01,-5.609E+01,1.190E+02,2.500E+00
2.00E+01,2.399E+01,-5.691E+01,1.154E+02,2.500E+00
2.10E+01,2.512E+01,-5.588E+01,1.211E+02,2.500E+00
2.20E+01,2.630E+01,-5.466E+01,1.226E+02,2.500E+00
2.30E+01,2.754E+01,-5.299E+01,9.227E+01,2.500E+00
2.40E+01,2.884E+01,-4.838E+01,1.259E+02,2.500E+00
2.50E+01,3.020E+01,-5.897E+01,1.224E+02,2.500E+00
2.60E+01,3.162E+01,-5.134E+01,9.320E+01,2.500E+00
2.70E+01,3.311E+01,-4.710E+01,4.397E+01,2.500E+00
2.80E+01,3.467E+01,-4.475E+01,-3.427E+01,2.500E+00
2.90E+01,3.631E+01,-3.990E+01,-1.463E+02,2.500E+00
3.00E+01,3.802E+01,-3.553E+01,7.328E+01,2.500E+00
3.10E+01,3.981E+01,-3.343E+01,6.262E+01,2.500E+00
3.20E+01,4.169E+01,-3.179E+01,5.717E+01,2.500E+00
3.30E+01,4.365E+01,-3.130E+01,-7.343E+01,2.500E+00
3.40E+01,4.571E+01,-3.011E+01,-2.129E+01,2.500E+00
3.50E+01,4.786E+01,-2.973E+01,-1.321E+02,2.500E+00
3.60E+01,5.012E+01,-2.888E+01,8.492E+01,2.500E+00
3.70E+01,5.248E+01,-2.905E+01,4.936E+01,2.500E+00
3.80E+01,5.495E+01,-2.972E+01,-1.636E+02,2.500E+00
3.90E+01,5.754E+01,-3.070E+01,-1.252E+02,2.500E+00
4.00E+01,6.026E+01,-3.132E+01,-1.448E+02,2.500E+00
4.10E+01,6.310E+01,-3.162E+01,3.824E+01,2.500E+00
4.20E+01,6.607E+01,-3.367E+01,-3.824E+01,2.500E+00
4.30E+01,6.918E+01,-3.333E+01,1.004E+02,2.500E+00
4.40E+01,7.244E+01,-3.593E+01,-1.058E+01,2.500E+00
4.50E+01,7.586E+01,-3.562E+01,8.469E+01,2.500E+00
4.60E+01,7.943E+01,-3.710E+01,6.502E+01,2.500E+00
4.70E+01,8.318E+01,-4.305E+01,-1.096E+02,2.500E+00
4.80E+01,8.710E+01,-4.585E+01,-8.401E+01,2.500E+00
4.90E+01,9.120E+01,-4.586E+01,-1.640E+02,2.500E+00
5.00E+01,9.550E+01,-4.530E+01,1.579E+02,2.500E+00
5.10E+01,1.000E+02,-5.032E+01,6.925E+01,2.500E+00
5.20E+01,1.047E+02,-4.863E+01,8.911E+01,2.500E+00
5.30E+01,1.096E+02,-4.869E+01,8.893E+01,2.500E+00
5.40E+01,1.148E+02,-4.798E+01,8.210E+01,2.500E+00
5.50E+01,1.202E+02,-4.774E+01,8.239E+01,2.500E+00
5.60E+01,1.259E+02,-4.744E+01,8.953E+01,2.500E+00
5.70E+01,1.318E+02,-4.738E+01,8.760E+01,2.500E+00
5.80E+01,1.380E+02,-4.686E+01,8.971E+01,2.500E+00
5.90E+01,1.445E+02,-4.542E+01,8.513E+01,2.500E+00
6.00E+01,1.514E+02,-4.627E+01,7.916E+01,2.500E+00
6.10E+01,1.585E+02,-4.568E+01,8.349E+01,2.500E+00
6.20E+01,1.660E+02,-4.455E+01,7.989E+01,2.500E+00
6.30E+01,1.738E+02,-4.404E+01,8.248E+01,2.500E+00
6.40E+01,1.820E+02,-4.413E+01,8.422E+01,2.500E+00
6.50E+01,1.905E+02,-4.394E+01,7.907E+01,2.500E+00
6.60E+01,1.995E+02,-4.370E+01,7.799E+01,2.500E+00
6.70E+01,2.089E+02,-4.461E+01,7.325E+01,2.500E+00
6.80E+01,2.188E+02,-4.147E+01,8.802E+01,2.500E+00
6.90E+01,2.291E+02,-4.215E+01,9.217E+01,2.500E+00
7.00E+01,2.399E+02,-4.065E+01,8.502E+01,2.500E+00
7.10E+01,2.512E+02,-4.034E+01,8.281E+01,2.500E+00
7.20E+01,2.630E+02,-3.974E+01,7.389E+01,2.500E+00
7.30E+01,2.754E+02,-3.977E+01,7.144E+01,2.500E+00
7.40E+01,2.884E+02,-4.121E+01,7.269E+01,2.500E+00
7.50E+01,3.020E+02,-4.091E+01,8.173E+01,2.500E+00
7.60E+01,3.162E+02,-4.082E+01,7.238E+01,2.500E+00
7.70E+01,3.311E+02,-3.903E+01,7.674E+01,2.500E+00
7.80E+01,3.467E+02,-3.875E+01,6.653E+01,2.500E+00
7.90E+01,3.631E+02,-3.814E+01,7.557E+01,2.500E+00
8.00E+01,3.802E+02,-3.773E+01,6.598E+01,2.500E+00
8.10E+01,3.981E+02,-3.719E+01,7.037E+01,2.500E+00
8.20E+01,4.169E+02,-3.635E+01,6.502E+01,2.500E+00
8.30E+01,4.365E+02,-3.681E+01,7.727E+01,2.500E+00
8.40E+01,4.571E+02,-3.736E+01,6.001E+01,2.500E+00
8.50E+01,4.786E+02,-3.665E+01,6.972E+01,2.500E+00
8.60E+01,5.012E+02,-3.603E+01,6.537E+01,2.500E+00
8.70E+01,5.248E+02,-3.669E+01,6.357E+01,2.500E+00
8.80E+01,5.495E+02,-3.322E+01,6.571E+01,2.500E+00
8.90E+01,5.754E+02,-3.314E+01,4.724E+01,2.500E+00
9.00E+01,6.026E+02,-3.425E+01,6.287E+01,2.500E+00
9.10E+01,6.310E+02,-3.402E+01,5.930E+01,2.500E+00
9.20E+01,6.607E+02,-3.331E+01,4.889E+01,2.500E+00
9.30E+01,6.918E+02,-3.412E+01,5.068E+01,2.500E+00
9.40E+01,7.244E+02,-3.474E+01,6.047E+01,2.500E+00
9.50E+01,7.586E+02,-3.306E+01,5.883E+01,2.500E+00
9.60E+01,7.943E+02,-3.235E+01,5.003E+01,2.500E+00
9.70E+01,8.318E+02,-3.385E+01,4.659E+01,2.500E+00
9.80E+01,8.710E+02,-3.198E+01,5.182E+01,2.500E+00
9.90E+01,9.120E+02,-3.186E+01,4.946E+01,2.500E+00
1.00E+02,9.550E+02,-3.176E+01,4.444E+01,2.500E+00
1.01E+02,1.000E+03,-3.194E+01,4.178E+01,2.500E+00
1.02E+02,1.047E+03,-3.209E+01,4.209E+01,2.500E+00
1.03E+02,1.096E+03,-3.169E+01,4.326E+01,2.500E+00
1.04E+02,1.148E+03,-3.163E+01,3.945E+01,2.500E+00
1.05E+02,1.202E+03,-3.156E+01,3.503E+01,2.500E+00
1.06E+02,1.259E+03,-3.127E+01,3.570E+01,2.500E+00
1.07E+02,1.318E+03,-3.129E+01,3.675E+01,2.500E+00
1.08E+02,1.380E+03,-3.081E+01,3.518E+01,2.500E+00
1.09E+02,1.445E+03,-3.043E+01,3.135E+01,2.500E+00
1.10E+02,1.514E+03,-3.039E+01,3.138E+01,2.500E+00
1.11E+02,1.585E+03,-3.033E+01,2.860E+01,2.500E+00
1.12E+02,1.660E+03,-3.026E+01,2.730E+01,2.500E+00
1.13E+02,1.738E+03,-3.016E+01,2.644E+01,2.500E+00
1.14E+02,1.820E+03,-3.046E+01,2.469E+01,2.500E+00
1.15E+02,1.905E+03,-3.019E+01,2.334E+01,2.500E+00
1.16E+02,1.995E+03,-3.018E+01,2.148E+01,2.500E+00
1.17E+02,2.089E+03,-3.003E+01,2.019E+01,2.500E+00
1.18E+02,2.188E+03,-3.007E+01,1.860E+01,2.500E+00
1.19E+02,2.291E+03,-3.012E+01,1.804E+01,2.500E+00
1.20E+02,2.399E+03,-3.010E+01,1.675E+01,2.500E+00
1.21E+02,2.512E+03,-3.013E+01,1.539E+01,2.500E+00
1.22E+02,2.630E+03,-3.013E+01,1.461E+01,2.500E+00
1.23E+02,2.754E+03,-3.022E+01,1.387E+01,2.500E+00
1.24E+02,2.884E+03,-3.015E+01,1.308E+01,2.500E+00
1.25E+02,3.020E+03,-3.014E+01,1.195E+01,2.500E+00
1.26E+02,3.162E+03,-3.023E+01,1.064E+01,2.500E+00
1.27E+02,3.311E+03,-3.024E+01,1.031E+01,2.500E+00
1.28E+02,3.467E+03,-2.995E+01,9.672E+00,2.500E+00
1.29E+02,3.631E+03,-3.020E+01,8.808E+00,2.500E+00
1.30E+02,3.802E+03,-3.020E+01,8.550E+00,2.500E+00
1.31E+02,3.981E+03,-3.015E+01,8.512E+00,2.500E+00
1.32E+02,4.169E+03,-3.028E+01,7.335E+00,2.500E+00
1.33E+02,4.365E+03,-3.031E+01,6.125E+00,2.500E+00
1.34E+02,4.571E+03,-3.018E+01,6.943E+00,2.500E+00
1.35E+02,4.786E+03,-3.033E+01,5.804E+00,2.500E+00
1.36E+02,5.012E+03,-3.026E+01,5.345E+00,2.500E+00
1.37E+02,5.248E+03,-3.044E+01,5.291E+00,2.500E+00
1.38E+02,5.495E+03,-3.036E+01,5.047E+00,2.500E+00
1.39E+02,5.754E+03,-3.035E+01,4.557E+00,2.500E+00
1.40E+02,6.026E+03,-3.037E+01,3.958E+00,2.500E+00
1.41E+02,6.310E+03,-3.027E+01,3.842E+00,2.500E+00
1.42E+02,6.607E+03,-3.040E+01,4.090E+00,2.500E+00
1.43E+02,6.918E+03,-3.038E+01,3.554E+00,2.500E+00
1.44E+02,7.244E+03,-3.040E+01,2.827E+00,2.500E+00
1.45E+02,7.586E+03,-3.027E+01,3.080E+00,2.500E+00
1.46E+02,7.943E+03,-3.008E+01,2.500E+00,2.500E+00
1.47E+02,8.318E+03,-3.003E+01,3.025E+00,2.500E+00
1.48E+02,8.710E+03,-3.001E+01,2.541E+00,2.500E+00
1.49E+02,9.120E+03,-3.010E+01,2.032E+00,2.500E+00
1.50E+02,9.550E+03,-3.042E+01,1.706E+00,2.500E+00
1.51E+02,1.000E+04,-3.045E+01,1.901E+00,2.500E+00
