in Sa,Frequency in Hz,Gain in dB,Phase in °,Amplitude in Vpp
1.00E+00,1.000E+01,-4.258E+01,1.000E+02,2.500E+00
2.00E+00,1.047E+01,-4.227E+01,9.432E+01,2.500E+00
3.00E+00,1.096E+01,-4.211E+01,9.989E+01,2.500E+00
4.00E+00,1.148E+01,-4.110E+01,9.388E+01,2.500E+00
5.00E+00,1.202E+01,-4.098E+01,1.017E+02,2.500E+00
6.00E+00,1.259E+01,-4.034E+01,9.278E+01,2.500E+00
7.00E+00,1.318E+01,-4.034E+01,9.707E+01,2.500E+00
8.00E+00,1.380E+01,-4.072E+01,9.221E+01,2.500E+00
9.00E+00,1.445E+01,-3.942E+01,8.957E+01,2.500E+00
1.00E+01,1.514E+01,-3.932E+01,9.632E+01,2.500E+00
1.10E+01,1.585E+01,-3.942E+01,9.492E+01,2.500E+00
1.20E+01,1.660E+01,-3.775E+01,9.335E+01,2.500E+00
1.30E+01,1.738E+01,-3.827E+01,9.524E+01,2.500E+00
1.40E+01,1.820E+01,-3.764E+01,9.630E+01,2.500E+00
1.50E+01,1.905E+01,-3.684E+01,9.092E+01,2.500E+00
1.60E+01,1.995E+01,-3.703E+01,9.067E+01,2.500E+00
1.70E+01,2.089E+01,-3.618E+01,9.307E+01,2.500E+00
1.80E+01,2.188E+01,-3.647E+01,9.204E+01,2.500E+00
1.90E+01,2.291E+01,-3.550E+01,9.228E+01,2.500E+00
2.00E+01,2.399E+01,-3.520E+01,9.191E+01,2.500E+00
2.10E+01,2.512E+01,-3.441E+01,9.140E+01,2.500E+00
2.20E+01,2.630E+01,-3.469E+01,8.908E+01,2.500E+00
2.30E+01,2.754E+01,-3.435E+01,9.102E+01,2.500E+00
2.40E+01,2.884E+01,-3.299E+01,9.315E+01,2.500E+00
2.50E+01,3.020E+01,-3.317E+01,8.901E+01,2.500E+00
2.60E+01,3.162E+01,-3.280E+01,8.946E+01,2.500E+00
2.70E+01,3.311E+01,-3.267E+01,8.667E+01,2.500E+00
2.80E+01,3.467E+01,-3.187E+01,9.140E+01,2.500E+00
2.90E+01,3.631E+01,-3.175E+01,9.190E+01,2.500E+00
3.00E+01,3.802E+01,-3.125E+01,8.950E+01,2.500E+00
3.10E+01,3.981E+01,-3.112E+01,8.890E+01,2.500E+00
3.20E+01,4.169E+01,-3.057E+01,8.809E+01,2.500E+00
3.30E+01,4.365E+01,-3.063E+01,9.031E+01,2.500E+00
3.40E+01,4.571E+01,-2.983E+01,9.012E+01,2.500E+00
3.50E+01,4.786E+01,-2.970E+01,9.265E+01,2.500E+00
3.60E+01,5.012E+01,-2.928E+01,8.754E+01,2.500E+00
3.70E+01,5.248E+01,-2.908E+01,9.022E+01,2.500E+00
3.80E+01,5.495E+01,-2.802E+01,8.831E+01,2.500E+00
3.90E+01,5.754E+01,-2.824E+01,8.940E+01,2.500E+00
4.00E+01,6.026E+01,-2.737E+01,9.009E+01,2.500E+00
4.10E+01,6.310E+01,-2.691E+01,9.038E+01,2.500E+00
4.20E+01,6.607E+01,-2.636E+01,8.755E+01,2.500E+00
4.30E+01,6.918E+01,-2.645E+01,8.747E+01,2.500E+00
4.40E+01,7.244E+01,-2.560E+01,8.891E+01,2.500E+00
4.50E+01,7.586E+01,-2.529E+01,9.000E+01,2.500E+00
4.60E+01,7.943E+01,-2.525E+01,8.590E+01,2.500E+00
4.70E+01,8.318E+01,-2.455E+01,8.840E+01,2.500E+00
4.80E+01,8.710E+01,-2.439E+01,8.939E+01,2.500E+00
4.90E+01,9.120E+01,-2.391E+01,8.935E+01,2.500E+00
5.00E+01,9.550E+01,-2.310E+01,8.826E+01,2.500E+00
5.10E+01,1.000E+02,-2.346E+01,8.968E+01,2.500E+00
5.20E+01,1.047E+02,-2.265E+01,8.711E+01,2.500E+00
