Replace Part P1 Display in D:\p4p\P4P_Project-130\PCBs\Inductor_based_sensor\Inductor_sensor\Sheet1.SchDoc with Display from EE209_SchLib.SchLib
Replace Part S1 sensor in D:\p4p\P4P_Project-130\PCBs\Inductor_based_sensor\Inductor_sensor\Sheet1.SchDoc with sensor from sensor.SchLib
Replace Part S2 sensor in D:\p4p\P4P_Project-130\PCBs\Inductor_based_sensor\Inductor_sensor\Sheet1.SchDoc with sensor from sensor.SchLib
Replace Part S3 sensor in D:\p4p\P4P_Project-130\PCBs\Inductor_based_sensor\Inductor_sensor\Sheet1.SchDoc with sensor from sensor.SchLib
Replace Part S4 sensor in D:\p4p\P4P_Project-130\PCBs\Inductor_based_sensor\Inductor_sensor\Sheet1.SchDoc with sensor from sensor.SchLib
Replace Part S5 sensor in D:\p4p\P4P_Project-130\PCBs\Inductor_based_sensor\Inductor_sensor\Sheet1.SchDoc with sensor from sensor.SchLib
Replace Part S6 sensor in D:\p4p\P4P_Project-130\PCBs\Inductor_based_sensor\Inductor_sensor\Sheet1.SchDoc with sensor from sensor.SchLib
Replace Part S7 sensor in D:\p4p\P4P_Project-130\PCBs\Inductor_based_sensor\Inductor_sensor\Sheet1.SchDoc with sensor from sensor.SchLib
Replace Part S8 sensor in D:\p4p\P4P_Project-130\PCBs\Inductor_based_sensor\Inductor_sensor\Sheet1.SchDoc with sensor from sensor.SchLib
Replace Part S9 sensor in D:\p4p\P4P_Project-130\PCBs\Inductor_based_sensor\Inductor_sensor\Sheet1.SchDoc with sensor from sensor.SchLib
Replace Part S10 sensor in D:\p4p\P4P_Project-130\PCBs\Inductor_based_sensor\Inductor_sensor\Sheet1.SchDoc with sensor from sensor.SchLib
Replace Part S11 sensor in D:\p4p\P4P_Project-130\PCBs\Inductor_based_sensor\Inductor_sensor\Sheet1.SchDoc with sensor from sensor.SchLib
Replace Part S12 sensor in D:\p4p\P4P_Project-130\PCBs\Inductor_based_sensor\Inductor_sensor\Sheet1.SchDoc with sensor from sensor.SchLib
Replace Part S13 sensor in D:\p4p\P4P_Project-130\PCBs\Inductor_based_sensor\Inductor_sensor\Sheet1.SchDoc with sensor from sensor.SchLib
Replace Part S14 sensor in D:\p4p\P4P_Project-130\PCBs\Inductor_based_sensor\Inductor_sensor\Sheet1.SchDoc with sensor from sensor.SchLib
Replace Part S15 sensor in D:\p4p\P4P_Project-130\PCBs\Inductor_based_sensor\Inductor_sensor\Sheet1.SchDoc with sensor from sensor.SchLib
Replace Part S16 sensor in D:\p4p\P4P_Project-130\PCBs\Inductor_based_sensor\Inductor_sensor\Sheet1.SchDoc with sensor from sensor.SchLib
Replace Part S17 sensor in D:\p4p\P4P_Project-130\PCBs\Inductor_based_sensor\Inductor_sensor\Sheet1.SchDoc with sensor from sensor.SchLib
Replace Part S18 sensor in D:\p4p\P4P_Project-130\PCBs\Inductor_based_sensor\Inductor_sensor\Sheet1.SchDoc with sensor from sensor.SchLib
Replace Part S19 sensor in D:\p4p\P4P_Project-130\PCBs\Inductor_based_sensor\Inductor_sensor\Sheet1.SchDoc with sensor from sensor.SchLib
Replace Part S20 sensor in D:\p4p\P4P_Project-130\PCBs\Inductor_based_sensor\Inductor_sensor\Sheet1.SchDoc with sensor from sensor.SchLib
