Designator,Description,Footprint,Comment,Center-X(mm),Center-Y(mm),Rotation,Layer

"C1_amplifier.SchDoc1, C1_amplifier.SchDoc2, C1_amplifier.SchDoc3, C1_amplifier.SchDoc4, C4_amplifier.SchDoc1, C4_amplifier.SchDoc2, C4_amplifier.SchDoc3, C4_amplifier.SchDoc4","CAP CER 100pF 50V NPO SM0603","ECE-CAPC1608-0603SM","100pF","2.794, 31.877, 60.833, 89.662, 19.558, 48.641, 77.597, 106.426","0.8, 0.8, 0.8, 0.8, -0.343, -0.343, -0.343, -0.343","270","Top"
"C2_amplifier.SchDoc1, C2_amplifier.SchDoc2, C2_amplifier.SchDoc3, C2_amplifier.SchDoc4, C3_amplifier.SchDoc1, C3_amplifier.SchDoc2, C3_amplifier.SchDoc3, C3_amplifier.SchDoc4, C5_amplifier.SchDoc1, C5_amplifier.SchDoc2, C5_amplifier.SchDoc3, C5_amplifier.SchDoc4, C6_amplifier.SchDoc1, C6_amplifier.SchDoc2, C6_amplifier.SchDoc3, C6_amplifier.SchDoc4, C7, C22","CAP CER 1uF 50V X7R SM0603","ECE-CAPC1608-0603SM","1uF","4.445, 33.528, 62.484, 91.313, 1.905, 30.988, 59.944, 88.773, 18.415, 47.498, 76.454, 105.283, 15.875, 44.958, 73.914, 102.743, -12.954, -15.875","21.628, 21.628, 21.628, 21.628, 21.628, 21.628, 21.628, 21.628, 21.628, 21.628, 21.628, 21.628, 21.628, 21.628, 21.628, 21.628, 7.023, 0.8","270, 270, 270, 270, 270, 270, 270, 270, 270, 270, 270, 270, 270, 270, 270, 270, 180, 90","Top"
"C8","CAP 10uF 16V ELE SM","ECE-CAPAE4X5.4SM","10uF","-15.748","24.93","180","Top"
"C9_amplifier.SchDoc1, C9_amplifier.SchDoc2, C9_amplifier.SchDoc3, C9_amplifier.SchDoc4, C10_amplifier.SchDoc1, C10_amplifier.SchDoc2, C10_amplifier.SchDoc3, C10_amplifier.SchDoc4, C15_amplifier.SchDoc1, C15_amplifier.SchDoc2, C15_amplifier.SchDoc3, C15_amplifier.SchDoc4, C19","CAP CER 100nF 25V X7R SM0603","ECE-CAPC1608-0603SM","100nF","-1.397, 27.686, 56.642, 85.471, 13.589, 42.672, 71.628, 100.457, 10.922, 40.005, 68.961, 97.79, -8.382","12.865, 12.865, 12.865, 12.865, 13.373, 13.373, 13.373, 13.373, -3.391, -3.391, -3.391, -3.391, -0.216","90, 90, 90, 90, 90, 90, 90, 90, 0, 0, 0, 0, 90","Top"
"C11, C13, C18, C20_amplifier.SchDoc1, C20_amplifier.SchDoc2, C20_amplifier.SchDoc3, C20_amplifier.SchDoc4","CAP CER 1uF 50V X7R SM0805","CAP 1206","4.7uF","-13.335, -13.335, -17.399, 10.541, 39.624, 68.58, 97.409","12.484, 18.072, -2.248, 14.389, 14.389, 14.389, 14.389","90, 270, 180, 90, 90, 90, 90","Top"
"C12","CAP CER 1uF 50V X7R SM0805","ECE-CAPC2012-0805SM","1uF","-18.415","3.848","0","Top"
"C16_amplifier.SchDoc1, C16_amplifier.SchDoc2, C16_amplifier.SchDoc3, C16_amplifier.SchDoc4, C17_amplifier.SchDoc1, C17_amplifier.SchDoc2, C17_amplifier.SchDoc3, C17_amplifier.SchDoc4","CAP CER 1000pF 50V X7R SM0603","ECE-CAPC1608-0603SM","1000pF","3.81, 32.893, 61.849, 90.678, 17.272, 46.355, 75.311, 104.14","7.277, 7.277, 7.277, 7.277, 7.912, 7.912, 7.912, 7.912","0","Top"
"I1_amplifier.SchDoc1, I1_amplifier.SchDoc2, I1_amplifier.SchDoc3, I1_amplifier.SchDoc4","Header, 2-Pin","UFL","SigInA","3.048, 32.131, 61.087, 89.916","26.226","0","Top"
"I2_amplifier.SchDoc1, I2_amplifier.SchDoc2, I2_amplifier.SchDoc3, I2_amplifier.SchDoc4","Header, 2-Pin","UFL","SigInB","17.272, 46.355, 75.311, 104.14","26.226","0","Top"
