Designator,Component Type,Footprint,Center-X(mm),Center-Y(mm),Rotation,Layer
,,,,,,
C1_amplifier.SchDoc1,CAP-0603-100pF,ECE-CAPC1608-0603SM,2.794,0.8,270,Top
C1_amplifier.SchDoc2,CAP-0603-100pF,ECE-CAPC1608-0603SM,31.877,0.8,270,Top
C1_amplifier.SchDoc3,CAP-0603-100pF,ECE-CAPC1608-0603SM,60.833,0.8,270,Top
C1_amplifier.SchDoc4,CAP-0603-100pF,ECE-CAPC1608-0603SM,89.662,0.8,270,Top
C2_amplifier.SchDoc1,CAP-0603-1uF,ECE-CAPC1608-0603SM,4.445,21.628,270,Top
C2_amplifier.SchDoc2,CAP-0603-1uF,ECE-CAPC1608-0603SM,33.528,21.628,270,Top
C2_amplifier.SchDoc3,CAP-0603-1uF,ECE-CAPC1608-0603SM,62.484,21.628,270,Top
C2_amplifier.SchDoc4,CAP-0603-1uF,ECE-CAPC1608-0603SM,91.313,21.628,270,Top
C3_amplifier.SchDoc1,CAP-0603-1uF,ECE-CAPC1608-0603SM,1.905,21.628,270,Top
C3_amplifier.SchDoc2,CAP-0603-1uF,ECE-CAPC1608-0603SM,30.988,21.628,270,Top
C3_amplifier.SchDoc3,CAP-0603-1uF,ECE-CAPC1608-0603SM,59.944,21.628,270,Top
C3_amplifier.SchDoc4,CAP-0603-1uF,ECE-CAPC1608-0603SM,88.773,21.628,270,Top
C4_amplifier.SchDoc1,CAP-0603-100pF,ECE-CAPC1608-0603SM,19.558,-0.343,270,Top
C4_amplifier.SchDoc2,CAP-0603-100pF,ECE-CAPC1608-0603SM,48.641,-0.343,270,Top
C4_amplifier.SchDoc3,CAP-0603-100pF,ECE-CAPC1608-0603SM,77.597,-0.343,270,Top
C4_amplifier.SchDoc4,CAP-0603-100pF,ECE-CAPC1608-0603SM,106.426,-0.343,270,Top
C5_amplifier.SchDoc1,CAP-0603-1uF,ECE-CAPC1608-0603SM,18.415,21.628,270,Top
C5_amplifier.SchDoc2,CAP-0603-1uF,ECE-CAPC1608-0603SM,47.498,21.628,270,Top
C5_amplifier.SchDoc3,CAP-0603-1uF,ECE-CAPC1608-0603SM,76.454,21.628,270,Top
C5_amplifier.SchDoc4,CAP-0603-1uF,ECE-CAPC1608-0603SM,105.283,21.628,270,Top
C6_amplifier.SchDoc1,CAP-0603-1uF,ECE-CAPC1608-0603SM,15.875,21.628,270,Top
C6_amplifier.SchDoc2,CAP-0603-1uF,ECE-CAPC1608-0603SM,44.958,21.628,270,Top
C6_amplifier.SchDoc3,CAP-0603-1uF,ECE-CAPC1608-0603SM,73.914,21.628,270,Top
C6_amplifier.SchDoc4,CAP-0603-1uF,ECE-CAPC1608-0603SM,102.743,21.628,270,Top
C7,CAP-0603-1uF,ECE-CAPC1608-0603SM,-12.954,7.023,180,Top
C8,CAP-4X5.4-10uF-16V,ECE-CAPAE4X5.4SM,-15.748,24.93,180,Top
C9_amplifier.SchDoc1,CAP-0603-100nF,ECE-CAPC1608-0603SM,-1.397,12.865,90,Top
C9_amplifier.SchDoc2,CAP-0603-100nF,ECE-CAPC1608-0603SM,27.686,12.865,90,Top
C9_amplifier.SchDoc3,CAP-0603-100nF,ECE-CAPC1608-0603SM,56.642,12.865,90,Top
C9_amplifier.SchDoc4,CAP-0603-100nF,ECE-CAPC1608-0603SM,85.471,12.865,90,Top
C10_amplifier.SchDoc1,CAP-0603-100nF,ECE-CAPC1608-0603SM,13.589,13.373,90,Top
C10_amplifier.SchDoc2,CAP-0603-100nF,ECE-CAPC1608-0603SM,42.672,13.373,90,Top
C10_amplifier.SchDoc3,CAP-0603-100nF,ECE-CAPC1608-0603SM,71.628,13.373,90,Top
C10_amplifier.SchDoc4,CAP-0603-100nF,ECE-CAPC1608-0603SM,100.457,13.373,90,Top
C11,CAP-0805-4.7uF,CAP 1206,-13.335,12.484,90,Top
C12,CAP-0805-1uF,ECE-CAPC2012-0805SM,-18.415,3.848,0,Top
C13,CAP-0805-1uF,CAP 1206,-13.335,18.072,270,Top
C15_amplifier.SchDoc1,CAP-0603-100nF,ECE-CAPC1608-0603SM,10.922,-3.391,0,Top
C15_amplifier.SchDoc2,CAP-0603-100nF,ECE-CAPC1608-0603SM,40.005,-3.391,0,Top
C15_amplifier.SchDoc3,CAP-0603-100nF,ECE-CAPC1608-0603SM,68.961,-3.391,0,Top
C15_amplifier.SchDoc4,CAP-0603-100nF,ECE-CAPC1608-0603SM,97.79,-3.391,0,Top
C16_amplifier.SchDoc1,CAP-0603-4.7uF,ECE-CAPC1608-0603SM,3.81,7.277,0,Top
C16_amplifier.SchDoc2,CAP-0603-4.7uF,ECE-CAPC1608-0603SM,32.893,7.277,0,Top
C16_amplifier.SchDoc3,CAP-0603-4.7uF,ECE-CAPC1608-0603SM,61.849,7.277,0,Top
C16_amplifier.SchDoc4,CAP-0603-4.7uF,ECE-CAPC1608-0603SM,90.678,7.277,0,Top
C17_amplifier.SchDoc1,CAP-0603-4.7uF,ECE-CAPC1608-0603SM,17.272,7.912,0,Top
C17_amplifier.SchDoc2,CAP-0603-4.7uF,ECE-CAPC1608-0603SM,46.355,7.912,0,Top
C17_amplifier.SchDoc3,CAP-0603-4.7uF,ECE-CAPC1608-0603SM,75.311,7.912,0,Top
C17_amplifier.SchDoc4,CAP-0603-4.7uF,ECE-CAPC1608-0603SM,104.14,7.912,0,Top
C18,CAP-0805-4.7uF,CAP 1206,-17.399,-2.248,180,Top
C19,CAP-0603-100nF,ECE-CAPC1608-0603SM,-8.382,-0.216,90,Top
C20_amplifier.SchDoc1,CAP-0805-1uF,CAP 1206,10.541,14.389,90,Top
C20_amplifier.SchDoc2,CAP-0805-1uF,CAP 1206,39.624,14.389,90,Top
C20_amplifier.SchDoc3,CAP-0805-1uF,CAP 1206,68.58,14.389,90,Top
C20_amplifier.SchDoc4,CAP-0805-1uF,CAP 1206,97.409,14.389,90,Top
C22,CAP-0603-1uF,ECE-CAPC1608-0603SM,-15.875,0.8,90,Top
R1_amplifier.SchDoc1,RES-0603-100K,ECE-RESC1608-0603SM,5.334,0.8,270,Top
R1_amplifier.SchDoc2,RES-0603-100K,ECE-RESC1608-0603SM,34.417,0.8,270,Top
R1_amplifier.SchDoc3,RES-0603-100K,ECE-RESC1608-0603SM,63.373,0.8,270,Top
R1_amplifier.SchDoc4,RES-0603-100K,ECE-RESC1608-0603SM,92.202,0.8,270,Top
R2_amplifier.SchDoc1,RES-0603-47R,ECE-RESC1608-0603SM,7.493,12.484,270,Top
R2_amplifier.SchDoc2,RES-0603-47R,ECE-RESC1608-0603SM,36.576,12.484,270,Top
R2_amplifier.SchDoc3,RES-0603-47R,ECE-RESC1608-0603SM,65.532,12.484,270,Top
R2_amplifier.SchDoc4,RES-0603-47R,ECE-RESC1608-0603SM,94.361,12.484,270,Top
R3_amplifier.SchDoc1,RES-0603-10K,ECE-RESC1608-0603SM,9.525,7.277,270,Top
R3_amplifier.SchDoc2,RES-0603-10K,ECE-RESC1608-0603SM,38.608,7.277,270,Top
R3_amplifier.SchDoc3,RES-0603-10K,ECE-RESC1608-0603SM,67.564,7.277,270,Top
R3_amplifier.SchDoc4,RES-0603-10K,ECE-RESC1608-0603SM,96.393,7.277,270,Top
R4_amplifier.SchDoc1,RES-0603-220K,ECE-RESC1608-0603SM,5.461,18.58,180,Top
R4_amplifier.SchDoc2,RES-0603-220K,ECE-RESC1608-0603SM,34.544,18.58,180,Top
R4_amplifier.SchDoc3,RES-0603-220K,ECE-RESC1608-0603SM,63.5,18.58,180,Top
R4_amplifier.SchDoc4,RES-0603-220K,ECE-RESC1608-0603SM,92.329,18.58,180,Top
R5_amplifier.SchDoc1,RES-0603-220K,ECE-RESC1608-0603SM,0.889,18.58,0,Top
R5_amplifier.SchDoc2,RES-0603-220K,ECE-RESC1608-0603SM,29.972,18.58,0,Top
R5_amplifier.SchDoc3,RES-0603-220K,ECE-RESC1608-0603SM,58.928,18.58,0,Top
R5_amplifier.SchDoc4,RES-0603-220K,ECE-RESC1608-0603SM,87.757,18.58,0,Top
R6_amplifier.SchDoc1,RES-0603-100K,ECE-RESC1608-0603SM,17.018,-0.343,270,Top
R6_amplifier.SchDoc2,RES-0603-100K,ECE-RESC1608-0603SM,46.101,-0.343,270,Top
R6_amplifier.SchDoc3,RES-0603-100K,ECE-RESC1608-0603SM,75.057,-0.343,270,Top
R6_amplifier.SchDoc4,RES-0603-100K,ECE-RESC1608-0603SM,103.886,-0.343,270,Top
R7_amplifier.SchDoc1,RES-0603-47R,ECE-RESC1608-0603SM,21.463,12.484,270,Top
R7_amplifier.SchDoc2,RES-0603-47R,ECE-RESC1608-0603SM,50.546,12.484,270,Top
R7_amplifier.SchDoc3,RES-0603-47R,ECE-RESC1608-0603SM,79.502,12.484,270,Top
R7_amplifier.SchDoc4,RES-0603-47R,ECE-RESC1608-0603SM,108.331,12.484,270,Top
R8_amplifier.SchDoc1,RES-0603-10K,ECE-RESC1608-0603SM,11.938,7.277,270,Top
R8_amplifier.SchDoc2,RES-0603-10K,ECE-RESC1608-0603SM,41.021,7.277,270,Top
R8_amplifier.SchDoc3,RES-0603-10K,ECE-RESC1608-0603SM,69.977,7.277,270,Top
R8_amplifier.SchDoc4,RES-0603-10K,ECE-RESC1608-0603SM,98.806,7.277,270,Top
R9_amplifier.SchDoc1,RES-0603-220K,ECE-RESC1608-0603SM,19.431,18.58,180,Top
R9_amplifier.SchDoc2,RES-0603-220K,ECE-RESC1608-0603SM,48.514,18.58,180,Top
R9_amplifier.SchDoc3,RES-0603-220K,ECE-RESC1608-0603SM,77.47,18.58,180,Top
R9_amplifier.SchDoc4,RES-0603-220K,ECE-RESC1608-0603SM,106.299,18.58,180,Top
R10_amplifier.SchDoc1,RES-0603-220K,ECE-RESC1608-0603SM,14.859,18.58,0,Top
R10_amplifier.SchDoc2,RES-0603-220K,ECE-RESC1608-0603SM,43.942,18.58,0,Top
R10_amplifier.SchDoc3,RES-0603-220K,ECE-RESC1608-0603SM,72.898,18.58,0,Top
R10_amplifier.SchDoc4,RES-0603-220K,ECE-RESC1608-0603SM,101.727,18.58,0,Top
R11,RES-0603-220K,ECE-RESC1608-0603SM,-17.907,18.072,0,Top
