Field=Comment~String~Comment~100|Field=Description~String~Description~100|Field=Designator~String~Designator~100|Field=Footprint~String~Footprint~100|Field=LibRef~String~LibRef~100|Field=Quantity~Integer~Quantity~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~lna_16ch.PrjPcb|ReportField=ProjectFullPath~Z:\npat025\Documents\research\schematics\low_noise_16ch\lna_16ch.PrjPcb|ReportField=Title~Bill of Materials For Project [lna_16ch.PrjPcb] (No PCB Document Selected)|ReportField=TotalQuantity~161|ReportField=ReportTime~9:39:04 AM|ReportField=ReportDate~11/22/2016|ReportField=ReportDateTime~11/22/2016 9:39:04 AM|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~11/22/2016|ReportField=CurrentTime~9:32:47 AM|ReportField=Date~|ReportField=DocumentFullPathAndName~Z:\npat025\Documents\research\schematics\low_noise_16ch\main.SchDoc|ReportField=DocumentName~main.SchDoc|ReportField=DocumentNumber~|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~7/3/2016|ReportField=Organization~|ReportField=ProjectName~lna_16ch.PrjPcb|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~|ReportField=SheetTotal~|ReportField=Time~|ReportField=Title~|ReportField=DataSourceFileName~lna_16ch.PrjPcb|ReportField=DataSourceFullPath~Z:\npat025\Documents\research\schematics\low_noise_16ch\lna_16ch.PrjPcb
100pF|CAP CER 100pF 50V NPO SM0603|C1_amplifier.SchDoc1, C1_amplifier.SchDoc2, C1_amplifier.SchDoc3, C1_amplifier.SchDoc4, C4_amplifier.SchDoc1, C4_amplifier.SchDoc2, C4_amplifier.SchDoc3, C4_amplifier.SchDoc4|ECE-CAPC1608-0603SM|CAP000606|8
1uF|CAP CER 1uF 50V X7R SM0603|C2_amplifier.SchDoc1, C2_amplifier.SchDoc2, C2_amplifier.SchDoc3, C2_amplifier.SchDoc4, C3_amplifier.SchDoc1, C3_amplifier.SchDoc2, C3_amplifier.SchDoc3, C3_amplifier.SchDoc4, C5_amplifier.SchDoc1, C5_amplifier.SchDoc2, C5_amplifier.SchDoc3, C5_amplifier.SchDoc4, C6_amplifier.SchDoc1, C6_amplifier.SchDoc2, C6_amplifier.SchDoc3, C6_amplifier.SchDoc4, C7, C22|ECE-CAPC1608-0603SM|CAP000630|18
10uF|CAP 10uF 16V ELE SM|C8|ECE-CAPAE4X5.4SM|CAP000303|1
100nF|CAP CER 100nF 25V X7R SM0603|C9_amplifier.SchDoc1, C9_amplifier.SchDoc2, C9_amplifier.SchDoc3, C9_amplifier.SchDoc4, C10_amplifier.SchDoc1, C10_amplifier.SchDoc2, C10_amplifier.SchDoc3, C10_amplifier.SchDoc4, C15_amplifier.SchDoc1, C15_amplifier.SchDoc2, C15_amplifier.SchDoc3, C15_amplifier.SchDoc4, C19|ECE-CAPC1608-0603SM|CAP000624|13
4.7uF|CAP CER 1uF 50V X7R SM0805|C11, C13, C18, C20_amplifier.SchDoc1, C20_amplifier.SchDoc2, C20_amplifier.SchDoc3, C20_amplifier.SchDoc4|CAP 1206|CAP000530|7
1uF|CAP CER 1uF 50V X7R SM0805|C12|ECE-CAPC2012-0805SM|CAP000530|1
4.7uF|CAP CER 4.7uF 50V X7R SM0603|C16_amplifier.SchDoc1, C16_amplifier.SchDoc2, C16_amplifier.SchDoc3, C16_amplifier.SchDoc4|ECE-CAPC1608-0603SM|CAP000612|4
4.7u|CAP CER 4.7uF 50V X7R SM0603|C17_amplifier.SchDoc1, C17_amplifier.SchDoc2, C17_amplifier.SchDoc3, C17_amplifier.SchDoc4|ECE-CAPC1608-0603SM|CAP000612|4
SigInA|Header, 2-Pin|I1_amplifier.SchDoc1, I1_amplifier.SchDoc2, I1_amplifier.SchDoc3, I1_amplifier.SchDoc4|UFL|Header 2|4
SigInB|Header, 2-Pin|I2_amplifier.SchDoc1, I2_amplifier.SchDoc2, I2_amplifier.SchDoc3, I2_amplifier.SchDoc4|UFL|Header 2|4
