in s,C1 in V
-2.50000E-04,2.25176E-01
-2.49996E-04,2.29277E-01
-2.49992E-04,2.28457E-01
-2.49988E-04,2.30098E-01
-2.49984E-04,2.34199E-01
-2.49980E-04,2.35020E-01
-2.49976E-04,2.33379E-01
-2.49972E-04,2.36660E-01
-2.49968E-04,2.37480E-01
-2.49964E-04,2.40762E-01
-2.49960E-04,2.39941E-01
-2.49956E-04,2.44043E-01
-2.49952E-04,2.44043E-01
-2.49948E-04,2.45684E-01
-2.49944E-04,2.46504E-01
-2.49940E-04,2.47324E-01
-2.49936E-04,2.46504E-01
-2.49932E-04,2.50605E-01
-2.49928E-04,2.51426E-01
-2.49924E-04,2.51426E-01
-2.49920E-04,2.50605E-01
-2.49916E-04,2.53887E-01
-2.49912E-04,2.53066E-01
-2.49908E-04,2.55527E-01
-2.49904E-04,2.57168E-01
-2.49900E-04,2.58809E-01
-2.49896E-04,2.58809E-01
-2.49892E-04,2.59629E-01
-2.49888E-04,2.62090E-01
-2.49884E-04,2.61270E-01
-2.49880E-04,2.62090E-01
-2.49876E-04,2.64551E-01
-2.49872E-04,2.67012E-01
-2.49868E-04,2.67012E-01
-2.49864E-04,2.67012E-01
-2.49860E-04,2.67832E-01
-2.49856E-04,2.70293E-01
-2.49852E-04,2.71934E-01
-2.49848E-04,2.71113E-01
-2.49844E-04,2.71934E-01
-2.49840E-04,2.74395E-01
-2.49836E-04,2.77676E-01
-2.49832E-04,2.75215E-01
-2.49828E-04,2.76035E-01
-2.49824E-04,2.78496E-01
-2.49820E-04,2.76855E-01
-2.49816E-04,2.77676E-01
-2.49812E-04,2.76855E-01
-2.49808E-04,2.81777E-01
-2.49804E-04,2.80137E-01
-2.49800E-04,2.85879E-01
-2.49796E-04,2.82598E-01
-2.49792E-04,2.85879E-01
-2.49788E-04,2.83418E-01
-2.49784E-04,2.85879E-01
-2.49780E-04,2.88340E-01
-2.49776E-04,2.87520E-01
-2.49772E-04,2.87520E-01
-2.49768E-04,2.87520E-01
-2.49764E-04,2.90801E-01
-2.49760E-04,2.89980E-01
-2.49756E-04,2.89980E-01
-2.49752E-04,2.94082E-01
-2.49748E-04,2.94902E-01
-2.49744E-04,2.94082E-01
-2.49740E-04,2.95723E-01
-2.49736E-04,2.96543E-01
-2.49732E-04,2.97363E-01
-2.49728E-04,2.97363E-01
-2.49724E-04,2.99824E-01
-2.49720E-04,3.03105E-01
-2.49716E-04,3.01465E-01
-2.49712E-04,3.02285E-01
-2.49708E-04,3.00645E-01
-2.49704E-04,3.02285E-01
-2.49700E-04,3.03105E-01
-2.49696E-04,3.03105E-01
-2.49692E-04,3.06387E-01
-2.49688E-04,3.07207E-01
-2.49684E-04,3.08848E-01
-2.49680E-04,3.08848E-01
-2.49676E-04,3.07207E-01
-2.49672E-04,3.07207E-01
-2.49668E-04,3.11309E-01
-2.49664E-04,3.09668E-01
-2.49660E-04,3.08848E-01
-2.49656E-04,3.12129E-01
-2.49652E-04,3.12129E-01
-2.49648E-04,3.12129E-01
-2.49644E-04,3.14590E-01
-2.49640E-04,3.12949E-01
-2.49636E-04,3.12949E-01
-2.49632E-04,3.12949E-01
-2.49628E-04,3.15410E-01
-2.49624E-04,3.18691E-01
-2.49620E-04,3.15410E-01
-2.49616E-04,3.15410E-01
-2.49612E-04,3.17871E-01
-2.49608E-04,3.18691E-01
-2.49604E-04,3.17051E-01
-2.49600E-04,3.17871E-01
-2.49596E-04,3.18691E-01
-2.49592E-04,3.21973E-01
-2.49588E-04,3.21152E-01
-2.49584E-04,3.19512E-01
-2.49580E-04,3.20332E-01
-2.49576E-04,3.23613E-01
-2.49572E-04,3.25254E-01
-2.49568E-04,3.25254E-01
-2.49564E-04,3.24434E-01
-2.49560E-04,3.22793E-01
-2.49556E-04,3.25254E-01
-2.49552E-04,3.25254E-01
-2.49548E-04,3.25254E-01
-2.49544E-04,3.26895E-01
-2.49540E-04,3.27715E-01
-2.49536E-04,3.27715E-01
-2.49532E-04,3.29355E-01
-2.49528E-04,3.27715E-01
-2.49524E-04,3.30176E-01
-2.49520E-04,3.27715E-01
-2.49516E-04,3.30176E-01
-2.49512E-04,3.28535E-01
-2.49508E-04,3.27715E-01
-2.49504E-04,3.29355E-01
-2.49500E-04,3.32637E-01
-2.49496E-04,3.30176E-01
-2.49492E-04,3.29355E-01
-2.49488E-04,3.30176E-01
-2.49484E-04,3.30996E-01
-2.49480E-04,3.30176E-01
-2.49476E-04,3.32637E-01
-2.49472E-04,3.30996E-01
-2.49468E-04,3.32637E-01
-2.49464E-04,3.35098E-01
-2.49460E-04,3.32637E-01
-2.49456E-04,3.34277E-01
-2.49452E-04,3.34277E-01
-2.49448E-04,3.33457E-01
-2.49444E-04,3.34277E-01
-2.49440E-04,3.35098E-01
-2.49436E-04,3.34277E-01
-2.49432E-04,3.38379E-01
-2.49428E-04,3.32637E-01
-2.49424E-04,3.35098E-01
-2.49420E-04,3.35918E-01
-2.49416E-04,3.36738E-01
-2.49412E-04,3.35918E-01
-2.49408E-04,3.35098E-01
-2.49404E-04,3.33457E-01
-2.49400E-04,3.35918E-01
-2.49396E-04,3.36738E-01
-2.49392E-04,3.36738E-01
-2.49388E-04,3.37559E-01
-2.49384E-04,3.35098E-01
-2.49380E-04,3.36738E-01
-2.49376E-04,3.37559E-01
-2.49372E-04,3.36738E-01
-2.49368E-04,3.39199E-01
-2.49364E-04,3.38379E-01
-2.49360E-04,3.35098E-01
-2.49356E-04,3.37559E-01
-2.49352E-04,3.35098E-01
-2.49348E-04,3.36738E-01
-2.49344E-04,3.39199E-01
-2.49340E-04,3.34277E-01
-2.49336E-04,3.37559E-01
-2.49332E-04,3.37559E-01
-2.49328E-04,3.35098E-01
-2.49324E-04,3.35918E-01
-2.49320E-04,3.35918E-01
-2.49316E-04,3.35098E-01
-2.49312E-04,3.38379E-01
-2.49308E-04,3.36738E-01
-2.49304E-04,3.37559E-01
-2.49300E-04,3.35918E-01
-2.49296E-04,3.35918E-01
-2.49292E-04,3.36738E-01
-2.49288E-04,3.36738E-01
-2.49284E-04,3.36738E-01
-2.49280E-04,3.35918E-01
-2.49276E-04,3.35098E-01
-2.49272E-04,3.36738E-01
-2.49268E-04,3.38379E-01
-2.49264E-04,3.33457E-01
-2.49260E-04,3.38379E-01
-2.49256E-04,3.35918E-01
-2.49252E-04,3.36738E-01
-2.49248E-04,3.34277E-01
-2.49244E-04,3.34277E-01
-2.49240E-04,3.35098E-01
-2.49236E-04,3.35918E-01
-2.49232E-04,3.33457E-01
-2.49228E-04,3.35098E-01
-2.49224E-04,3.32637E-01
-2.49220E-04,3.30996E-01
-2.49216E-04,3.33457E-01
-2.49212E-04,3.34277E-01
-2.49208E-04,3.30996E-01
-2.49204E-04,3.32637E-01
-2.49200E-04,3.35098E-01
-2.49196E-04,3.33457E-01
-2.49192E-04,3.30996E-01
-2.49188E-04,3.32637E-01
-2.49184E-04,3.30176E-01
-2.49180E-04,3.30176E-01
-2.49176E-04,3.29355E-01
-2.49172E-04,3.30176E-01
-2.49168E-04,3.29355E-01
-2.49164E-04,3.30176E-01
-2.49160E-04,3.27715E-01
-2.49156E-04,3.27715E-01
-2.49152E-04,3.27715E-01
-2.49148E-04,3.27715E-01
-2.49144E-04,3.27715E-01
-2.49140E-04,3.26895E-01
-2.49136E-04,3.26895E-01
-2.49132E-04,3.26074E-01
-2.49128E-04,3.27715E-01
-2.49124E-04,3.24434E-01
-2.49120E-04,3.24434E-01
-2.49116E-04,3.25254E-01
-2.49112E-04,3.19512E-01
-2.49108E-04,3.23613E-01
-2.49104E-04,3.22793E-01
-2.49100E-04,3.21973E-01
-2.49096E-04,3.20332E-01
-2.49092E-04,3.20332E-01
-2.49088E-04,3.17871E-01
-2.49084E-04,3.17871E-01
-2.49080E-04,3.18691E-01
-2.49076E-04,3.17871E-01
-2.49072E-04,3.17871E-01
-2.49068E-04,3.16230E-01
-2.49064E-04,3.13770E-01
-2.49060E-04,3.16230E-01
-2.49056E-04,3.16230E-01
-2.49052E-04,3.13770E-01
-2.49048E-04,3.15410E-01
-2.49044E-04,3.14590E-01
-2.49040E-04,3.12949E-01
-2.49036E-04,3.09668E-01
-2.49032E-04,3.13770E-01
-2.49028E-04,3.10488E-01
-2.49024E-04,3.09668E-01
-2.49020E-04,3.12949E-01
-2.49016E-04,3.11309E-01
-2.49012E-04,3.09668E-01
-2.49008E-04,3.08027E-01
-2.49004E-04,3.07207E-01
-2.49000E-04,3.05566E-01
-2.48996E-04,3.07207E-01
-2.48992E-04,3.04746E-01
-2.48988E-04,3.05566E-01
-2.48984E-04,3.02285E-01
-2.48980E-04,3.04746E-01
-2.48976E-04,3.02285E-01
-2.48972E-04,3.01465E-01
-2.48968E-04,3.03105E-01
-2.48964E-04,2.99824E-01
-2.48960E-04,2.97363E-01
-2.48956E-04,2.98184E-01
-2.48952E-04,2.97363E-01
-2.48948E-04,2.96543E-01
-2.48944E-04,2.96543E-01
-2.48940E-04,2.99004E-01
-2.48936E-04,2.94082E-01
-2.48932E-04,2.93262E-01
-2.48928E-04,2.93262E-01
-2.48924E-04,2.91621E-01
-2.48920E-04,2.94082E-01
-2.48916E-04,2.90801E-01
-2.48912E-04,2.91621E-01
-2.48908E-04,2.89160E-01
-2.48904E-04,2.85879E-01
-2.48900E-04,2.88340E-01
-2.48896E-04,2.85879E-01
-2.48892E-04,2.81777E-01
-2.48888E-04,2.85059E-01
-2.48884E-04,2.80957E-01
-2.48880E-04,2.81777E-01
-2.48876E-04,2.80957E-01
-2.48872E-04,2.80137E-01
-2.48868E-04,2.80137E-01
-2.48864E-04,2.79316E-01
-2.48860E-04,2.78496E-01
-2.48856E-04,2.76855E-01
-2.48852E-04,2.77676E-01
-2.48848E-04,2.76035E-01
-2.48844E-04,2.76035E-01
-2.48840E-04,2.72754E-01
-2.48836E-04,2.71934E-01
-2.48832E-04,2.71934E-01
-2.48828E-04,2.67012E-01
-2.48824E-04,2.71113E-01
-2.48820E-04,2.66191E-01
-2.48816E-04,2.66191E-01
-2.48812E-04,2.67012E-01
