in Sa,Frequency in Hz,Gain in dB,Phase in °,Amplitude in Vpp
1.00E+00,1.000E+01,-5.996E+01,1.688E+02,2.500E+00
2.00E+00,1.047E+01,-6.026E+01,1.686E+02,2.500E+00
3.00E+00,1.096E+01,-6.061E+01,1.631E+02,2.500E+00
4.00E+00,1.148E+01,-6.056E+01,1.673E+02,2.500E+00
5.00E+00,1.202E+01,-5.943E+01,1.658E+02,2.500E+00
6.00E+00,1.259E+01,-5.991E+01,1.602E+02,2.500E+00
7.00E+00,1.318E+01,-6.076E+01,1.574E+02,2.500E+00
8.00E+00,1.380E+01,-6.088E+01,1.598E+02,2.500E+00
9.00E+00,1.445E+01,-5.904E+01,1.602E+02,2.500E+00
1.00E+01,1.514E+01,-6.074E+01,1.517E+02,2.500E+00
1.10E+01,1.585E+01,-6.038E+01,1.570E+02,2.500E+00
1.20E+01,1.660E+01,-6.077E+01,1.491E+02,2.500E+00
1.30E+01,1.738E+01,-6.100E+01,1.444E+02,2.500E+00
1.40E+01,1.820E+01,-6.012E+01,1.498E+02,2.500E+00
1.50E+01,1.905E+01,-6.142E+01,1.546E+02,2.500E+00
1.60E+01,1.995E+01,-5.965E+01,1.506E+02,2.500E+00
1.70E+01,2.089E+01,-5.892E+01,1.461E+02,2.500E+00
1.80E+01,2.188E+01,-6.137E+01,1.471E+02,2.500E+00
1.90E+01,2.291E+01,-6.086E+01,1.452E+02,2.500E+00
2.00E+01,2.399E+01,-6.089E+01,1.409E+02,2.500E+00
2.10E+01,2.512E+01,-5.986E+01,1.507E+02,2.500E+00
2.20E+01,2.630E+01,-6.152E+01,1.426E+02,2.500E+00
2.30E+01,2.754E+01,-5.986E+01,1.310E+02,2.500E+00
2.40E+01,2.884E+01,-6.248E+01,1.353E+02,2.500E+00
2.50E+01,3.020E+01,-7.729E+01,-1.765E+02,2.500E+00
2.60E+01,3.162E+01,-7.409E+01,1.185E+02,2.500E+00
2.70E+01,3.311E+01,-7.211E+01,1.581E+02,2.500E+00
2.80E+01,3.467E+01,-7.781E+01,1.555E+02,2.500E+00
2.90E+01,3.631E+01,-8.084E+01,1.075E+02,2.500E+00
3.00E+01,3.802E+01,-7.694E+01,8.302E+01,2.500E+00
3.10E+01,3.981E+01,-6.873E+01,1.298E+02,2.500E+00
3.20E+01,4.169E+01,-8.193E+01,1.420E+02,2.500E+00
3.30E+01,4.365E+01,-6.925E+01,1.353E+02,2.500E+00
3.40E+01,4.571E+01,-7.009E+01,1.622E+02,2.500E+00
3.50E+01,4.786E+01,-7.031E+01,1.391E+02,2.500E+00
3.60E+01,5.012E+01,-7.810E+01,-1.743E+02,2.500E+00
3.70E+01,5.248E+01,-7.071E+01,1.576E+02,2.500E+00
3.80E+01,5.495E+01,-7.699E+01,1.015E+02,2.500E+00
3.90E+01,5.754E+01,-7.159E+01,1.510E+02,2.500E+00
4.00E+01,6.026E+01,-6.833E+01,1.317E+02,2.500E+00
4.10E+01,6.310E+01,-7.839E+01,1.600E+02,2.500E+00
4.20E+01,6.607E+01,-7.221E+01,1.229E+02,2.500E+00
4.30E+01,6.918E+01,-7.754E+01,3.339E+01,2.500E+00
4.40E+01,7.244E+01,-7.557E+01,1.228E+02,2.500E+00
4.50E+01,7.586E+01,-6.868E+01,1.221E+02,2.500E+00
4.60E+01,7.943E+01,-8.041E+01,1.665E+02,2.500E+00
4.70E+01,8.318E+01,-7.357E+01,1.265E+02,2.500E+00
4.80E+01,8.710E+01,-7.066E+01,1.391E+02,2.500E+00
4.90E+01,9.120E+01,-6.983E+01,1.287E+02,2.500E+00
5.00E+01,9.550E+01,-7.213E+01,1.742E+02,2.500E+00
5.10E+01,1.000E+02,-7.716E+01,-4.110E+01,2.500E+00
5.20E+01,1.047E+02,-9.418E+01,1.554E+02,2.500E+00
5.30E+01,1.096E+02,-7.918E+01,-1.007E+02,2.500E+00
5.40E+01,1.148E+02,-7.064E+01,-1.586E+02,2.500E+00
5.50E+01,1.202E+02,-8.040E+01,1.670E+02,2.500E+00
5.60E+01,1.259E+02,-8.381E+01,-1.656E+02,2.500E+00
5.70E+01,1.318E+02,-8.008E+01,1.505E+02,2.500E+00
5.80E+01,1.380E+02,-7.401E+01,1.343E+02,2.500E+00
5.90E+01,1.445E+02,-7.333E+01,1.006E+02,2.500E+00
6.00E+01,1.514E+02,-8.064E+01,8.444E+01,2.500E+00
6.10E+01,1.585E+02,-7.510E+01,-6.548E+01,2.500E+00
6.20E+01,1.660E+02,-8.614E+01,8.748E+01,2.500E+00
6.30E+01,1.738E+02,-7.683E+01,-1.607E+02,2.500E+00
6.40E+01,1.820E+02,-8.458E+01,1.640E+02,2.500E+00
6.50E+01,1.905E+02,-8.170E+01,-1.690E+02,2.500E+00
6.60E+01,1.995E+02,-7.069E+01,-4.867E+00,2.500E+00
6.70E+01,2.089E+02,-7.026E+01,1.099E+02,2.500E+00
