in Sa,Frequency in Hz,Gain in dB,Phase in °,Amplitude in Vpp
1.00E+00,1.000E+01,-6.008E+01,1.688E+02,2.500E+00
2.00E+00,1.047E+01,-6.032E+01,1.612E+02,2.500E+00
3.00E+00,1.096E+01,-5.910E+01,1.686E+02,2.500E+00
4.00E+00,1.148E+01,-6.008E+01,1.629E+02,2.500E+00
5.00E+00,1.202E+01,-5.858E+01,1.622E+02,2.500E+00
6.00E+00,1.259E+01,-5.917E+01,1.635E+02,2.500E+00
7.00E+00,1.318E+01,-5.980E+01,1.564E+02,2.500E+00
8.00E+00,1.380E+01,-5.957E+01,1.568E+02,2.500E+00
9.00E+00,1.445E+01,-6.005E+01,1.624E+02,2.500E+00
1.00E+01,1.514E+01,-6.035E+01,1.547E+02,2.500E+00
1.10E+01,1.585E+01,-5.988E+01,1.471E+02,2.500E+00
1.20E+01,1.660E+01,-6.016E+01,1.517E+02,2.500E+00
1.30E+01,1.738E+01,-5.981E+01,1.529E+02,2.500E+00
1.40E+01,1.820E+01,-5.945E+01,1.495E+02,2.500E+00
1.50E+01,1.905E+01,-6.048E+01,1.459E+02,2.500E+00
1.60E+01,1.995E+01,-6.108E+01,1.517E+02,2.500E+00
1.70E+01,2.089E+01,-5.919E+01,1.538E+02,2.500E+00
1.80E+01,2.188E+01,-6.028E+01,1.495E+02,2.500E+00
1.90E+01,2.291E+01,-5.945E+01,1.537E+02,2.500E+00
2.00E+01,2.399E+01,-6.191E+01,1.482E+02,2.500E+00
2.10E+01,2.512E+01,-6.024E+01,1.446E+02,2.500E+00
2.20E+01,2.630E+01,-5.929E+01,1.386E+02,2.500E+00
2.30E+01,2.754E+01,-5.920E+01,1.400E+02,2.500E+00
2.40E+01,2.884E+01,-6.196E+01,1.327E+02,2.500E+00
2.50E+01,3.020E+01,-8.065E+01,1.521E+02,2.500E+00
2.60E+01,3.162E+01,-7.617E+01,-1.733E+02,2.500E+00
2.70E+01,3.311E+01,-7.830E+01,1.412E+02,2.500E+00
2.80E+01,3.467E+01,-7.536E+01,1.424E+02,2.500E+00
2.90E+01,3.631E+01,-7.981E+01,1.628E+02,2.500E+00
3.00E+01,3.802E+01,-7.372E+01,1.727E+02,2.500E+00
3.10E+01,3.981E+01,-6.904E+01,1.520E+02,2.500E+00
3.20E+01,4.169E+01,-7.236E+01,-1.580E+02,2.500E+00
3.30E+01,4.365E+01,-7.785E+01,-1.313E+02,2.500E+00
3.40E+01,4.571E+01,-7.505E+01,1.377E+02,2.500E+00
3.50E+01,4.786E+01,-7.501E+01,1.378E+02,2.500E+00
3.60E+01,5.012E+01,-7.004E+01,1.512E+02,2.500E+00
3.70E+01,5.248E+01,-6.978E+01,1.548E+02,2.500E+00
3.80E+01,5.495E+01,-6.997E+01,1.302E+02,2.500E+00
