in Sa,Frequency in Hz,Gain in dB,Phase in °,Amplitude in Vpp
1.00E+00,1.000E+01,-6.061E+01,1.585E+02,2.500E+00
2.00E+00,1.047E+01,-6.017E+01,1.648E+02,2.500E+00
3.00E+00,1.096E+01,-5.976E+01,1.714E+02,2.500E+00
4.00E+00,1.148E+01,-5.970E+01,1.749E+02,2.500E+00
5.00E+00,1.202E+01,-6.005E+01,1.654E+02,2.500E+00
6.00E+00,1.259E+01,-6.053E+01,1.615E+02,2.500E+00
7.00E+00,1.318E+01,-6.161E+01,1.511E+02,2.500E+00
8.00E+00,1.380E+01,-6.113E+01,1.616E+02,2.500E+00
9.00E+00,1.445E+01,-6.097E+01,1.599E+02,2.500E+00
1.00E+01,1.514E+01,-6.154E+01,1.647E+02,2.500E+00
1.10E+01,1.585E+01,-6.083E+01,1.540E+02,2.500E+00
1.20E+01,1.660E+01,-6.118E+01,1.557E+02,2.500E+00
1.30E+01,1.738E+01,-6.055E+01,1.540E+02,2.500E+00
1.40E+01,1.820E+01,-6.116E+01,1.457E+02,2.500E+00
1.50E+01,1.905E+01,-6.225E+01,1.432E+02,2.500E+00
1.60E+01,1.995E+01,-6.075E+01,1.471E+02,2.500E+00
1.70E+01,2.089E+01,-6.008E+01,1.429E+02,2.500E+00
1.80E+01,2.188E+01,-5.997E+01,1.408E+02,2.500E+00
1.90E+01,2.291E+01,-6.139E+01,1.360E+02,2.500E+00
2.00E+01,2.399E+01,-6.234E+01,1.415E+02,2.500E+00
2.10E+01,2.512E+01,-6.003E+01,1.491E+02,2.500E+00
2.20E+01,2.630E+01,-6.042E+01,1.313E+02,2.500E+00
2.30E+01,2.754E+01,-6.019E+01,1.412E+02,2.500E+00
2.40E+01,2.884E+01,-6.212E+01,1.367E+02,2.500E+00
2.50E+01,3.020E+01,-7.988E+01,8.290E+01,2.500E+00
2.60E+01,3.162E+01,-7.722E+01,1.257E+02,2.500E+00
2.70E+01,3.311E+01,-7.830E+01,1.319E+02,2.500E+00
2.80E+01,3.467E+01,-7.939E+01,-1.605E+02,2.500E+00
2.90E+01,3.631E+01,-6.996E+01,7.978E+01,2.500E+00
3.00E+01,3.802E+01,-7.520E+01,5.328E+01,2.500E+00
3.10E+01,3.981E+01,-6.771E+01,1.447E+02,2.500E+00
3.20E+01,4.169E+01,-7.403E+01,2.963E+01,2.500E+00
3.30E+01,4.365E+01,-7.703E+01,-9.393E+01,2.500E+00
3.40E+01,4.571E+01,-6.461E+01,1.604E+02,2.500E+00
3.50E+01,4.786E+01,-6.588E+01,1.263E+02,2.500E+00
3.60E+01,5.012E+01,-7.098E+01,-1.520E+02,2.500E+00
3.70E+01,5.248E+01,-6.814E+01,5.178E+01,2.500E+00
3.80E+01,5.495E+01,-6.801E+01,-1.438E+02,2.500E+00
3.90E+01,5.754E+01,-6.944E+01,4.779E+01,2.500E+00
4.00E+01,6.026E+01,-6.618E+01,1.397E+02,2.500E+00
4.10E+01,6.310E+01,-7.100E+01,3.028E+01,2.500E+00
4.20E+01,6.607E+01,-7.345E+01,-2.862E+01,2.500E+00
4.30E+01,6.918E+01,-7.386E+01,-1.500E+02,2.500E+00
4.40E+01,7.244E+01,-7.651E+01,2.079E+01,2.500E+00
4.50E+01,7.586E+01,-7.570E+01,1.446E+02,2.500E+00
4.60E+01,7.943E+01,-8.304E+01,-1.569E+02,2.500E+00
4.70E+01,8.318E+01,-7.224E+01,1.515E+02,2.500E+00
4.80E+01,8.710E+01,-7.605E+01,1.776E+02,2.500E+00
4.90E+01,9.120E+01,-7.522E+01,1.539E+02,2.500E+00
5.00E+01,9.550E+01,-7.285E+01,1.535E+02,2.500E+00
5.10E+01,1.000E+02,-8.307E+01,1.444E+02,2.500E+00
5.20E+01,1.047E+02,-7.377E+01,1.565E+02,2.500E+00
5.30E+01,1.096E+02,-7.897E+01,1.387E+02,2.500E+00
5.40E+01,1.148E+02,-8.547E+01,-1.144E+02,2.500E+00
5.50E+01,1.202E+02,-7.297E+01,-4.502E+01,2.500E+00
5.60E+01,1.259E+02,-7.988E+01,-1.628E+02,2.500E+00
5.70E+01,1.318E+02,-8.973E+01,1.384E+02,2.500E+00
5.80E+01,1.380E+02,-8.268E+01,-1.002E+02,2.500E+00
5.90E+01,1.445E+02,-7.407E+01,5.778E+01,2.500E+00
6.00E+01,1.514E+02,-7.938E+01,-4.941E+01,2.500E+00
6.10E+01,1.585E+02,-7.474E+01,-5.329E+01,2.500E+00
6.20E+01,1.660E+02,-8.658E+01,5.894E+01,2.500E+00
6.30E+01,1.738E+02,-7.164E+01,1.800E+02,2.500E+00
6.40E+01,1.820E+02,-7.475E+01,1.635E+02,2.500E+00
6.50E+01,1.905E+02,-7.322E+01,6.300E+01,2.500E+00
