in Sa,Frequency in Hz,Gain in dB,Phase in °,Amplitude in Vpp
1.00E+00,1.000E+01,-2.368E+01,8.046E+01,2.500E+00
2.00E+00,1.047E+01,-2.356E+01,9.715E+01,2.500E+00
3.00E+00,1.096E+01,-2.174E+01,8.574E+01,2.500E+00
4.00E+00,1.148E+01,-2.231E+01,9.045E+01,2.500E+00
5.00E+00,1.202E+01,-2.147E+01,8.919E+01,2.500E+00
6.00E+00,1.259E+01,-2.131E+01,8.657E+01,2.500E+00
7.00E+00,1.318E+01,-1.955E+01,8.890E+01,2.500E+00
8.00E+00,1.380E+01,-1.967E+01,9.241E+01,2.500E+00
9.00E+00,1.445E+01,-1.955E+01,9.255E+01,2.500E+00
1.00E+01,1.514E+01,-1.968E+01,8.579E+01,2.500E+00
1.10E+01,1.585E+01,-1.879E+01,8.922E+01,2.500E+00
1.20E+01,1.660E+01,-1.903E+01,8.697E+01,2.500E+00
1.30E+01,1.738E+01,-1.851E+01,8.523E+01,2.500E+00
1.40E+01,1.820E+01,-1.799E+01,8.379E+01,2.500E+00
1.50E+01,1.905E+01,-1.745E+01,8.676E+01,2.500E+00
1.60E+01,1.995E+01,-1.693E+01,8.808E+01,2.500E+00
1.70E+01,2.089E+01,-1.645E+01,8.590E+01,2.500E+00
1.80E+01,2.188E+01,-1.616E+01,9.050E+01,2.500E+00
1.90E+01,2.291E+01,-1.613E+01,8.443E+01,2.500E+00
2.00E+01,2.399E+01,-1.527E+01,8.421E+01,2.500E+00
2.10E+01,2.512E+01,-1.523E+01,8.781E+01,2.500E+00
2.20E+01,2.630E+01,-1.476E+01,8.725E+01,2.500E+00
2.30E+01,2.754E+01,-1.458E+01,8.671E+01,2.500E+00
2.40E+01,2.884E+01,-1.365E+01,8.661E+01,2.500E+00
2.50E+01,3.020E+01,-1.329E+01,8.646E+01,2.500E+00
2.60E+01,3.162E+01,-1.337E+01,8.632E+01,2.500E+00
2.70E+01,3.311E+01,-1.265E+01,8.709E+01,2.500E+00
2.80E+01,3.467E+01,-1.266E+01,8.713E+01,2.500E+00
2.90E+01,3.631E+01,-1.223E+01,8.728E+01,2.500E+00
3.00E+01,3.802E+01,-1.176E+01,8.789E+01,2.500E+00
3.10E+01,3.981E+01,-1.111E+01,8.463E+01,2.500E+00
3.20E+01,4.169E+01,-1.066E+01,8.615E+01,2.500E+00
3.30E+01,4.365E+01,-1.042E+01,8.546E+01,2.500E+00
3.40E+01,4.571E+01,-1.008E+01,8.245E+01,2.500E+00
3.50E+01,4.786E+01,-9.472E+00,8.476E+01,2.500E+00
3.60E+01,5.012E+01,-9.665E+00,8.632E+01,2.500E+00
3.70E+01,5.248E+01,-8.507E+00,8.643E+01,2.500E+00
3.80E+01,5.495E+01,-8.329E+00,8.324E+01,2.500E+00
3.90E+01,5.754E+01,-8.026E+00,8.689E+01,2.500E+00
4.00E+01,6.026E+01,-7.940E+00,8.328E+01,2.500E+00
4.10E+01,6.310E+01,-7.307E+00,8.562E+01,2.500E+00
4.20E+01,6.607E+01,-7.203E+00,8.555E+01,2.500E+00
4.30E+01,6.918E+01,-6.416E+00,8.357E+01,2.500E+00
4.40E+01,7.244E+01,-6.200E+00,8.447E+01,2.500E+00
4.50E+01,7.586E+01,-5.648E+00,8.282E+01,2.500E+00
4.60E+01,7.943E+01,-5.191E+00,8.180E+01,2.500E+00
4.70E+01,8.318E+01,-4.884E+00,8.231E+01,2.500E+00
4.80E+01,8.710E+01,-4.331E+00,8.114E+01,2.500E+00
4.90E+01,9.120E+01,-4.219E+00,8.113E+01,2.500E+00
5.00E+01,9.550E+01,-3.763E+00,8.054E+01,2.500E+00
5.10E+01,1.000E+02,-3.340E+00,8.026E+01,2.500E+00
5.20E+01,1.047E+02,-2.980E+00,8.091E+01,2.500E+00
5.30E+01,1.096E+02,-2.688E+00,7.924E+01,2.500E+00
5.40E+01,1.148E+02,-2.183E+00,7.925E+01,2.500E+00
5.50E+01,1.202E+02,-1.988E+00,7.884E+01,2.500E+00
5.60E+01,1.259E+02,-1.477E+00,7.878E+01,2.500E+00
5.70E+01,1.318E+02,-1.052E+00,7.788E+01,2.500E+00
5.80E+01,1.380E+02,-5.463E-01,7.680E+01,2.500E+00
5.90E+01,1.445E+02,-3.241E-01,7.658E+01,2.500E+00
6.00E+01,1.514E+02,8.972E-02,7.515E+01,2.500E+00
6.10E+01,1.585E+02,5.546E-01,7.400E+01,2.500E+00
6.20E+01,1.660E+02,8.671E-01,7.455E+01,2.500E+00
6.30E+01,1.738E+02,1.351E+00,7.322E+01,2.500E+00
6.40E+01,1.820E+02,1.559E+00,7.241E+01,2.500E+00
6.50E+01,1.905E+02,1.913E+00,7.238E+01,2.500E+00
6.60E+01,1.995E+02,2.350E+00,7.174E+01,2.500E+00
6.70E+01,2.089E+02,2.580E+00,7.070E+01,2.500E+00
6.80E+01,2.188E+02,3.082E+00,6.920E+01,2.500E+00
6.90E+01,2.291E+02,3.264E+00,6.923E+01,2.500E+00
