in Sa,Frequency in Hz,Gain in dB,Phase in °,Amplitude in Vpp
1.00E+00,1.000E+01,-4.306E+01,8.045E+01,2.500E+00
2.00E+00,1.047E+01,-4.338E+01,8.862E+01,2.500E+00
3.00E+00,1.096E+01,-4.276E+01,8.636E+01,2.500E+00
4.00E+00,1.148E+01,-4.311E+01,8.780E+01,2.500E+00
5.00E+00,1.202E+01,-4.211E+01,8.212E+01,2.500E+00
6.00E+00,1.259E+01,-4.273E+01,8.476E+01,2.500E+00
7.00E+00,1.318E+01,-4.241E+01,8.449E+01,2.500E+00
8.00E+00,1.380E+01,-4.165E+01,8.545E+01,2.500E+00
9.00E+00,1.445E+01,-4.164E+01,8.644E+01,2.500E+00
1.00E+01,1.514E+01,-4.019E+01,8.944E+01,2.500E+00
1.10E+01,1.585E+01,-4.076E+01,8.174E+01,2.500E+00
1.20E+01,1.660E+01,-3.961E+01,8.486E+01,2.500E+00
1.30E+01,1.738E+01,-3.955E+01,9.008E+01,2.500E+00
1.40E+01,1.820E+01,-3.889E+01,8.877E+01,2.500E+00
1.50E+01,1.905E+01,-3.837E+01,8.725E+01,2.500E+00
1.60E+01,1.995E+01,-3.875E+01,8.423E+01,2.500E+00
1.70E+01,2.089E+01,-3.705E+01,8.779E+01,2.500E+00
1.80E+01,2.188E+01,-3.727E+01,8.378E+01,2.500E+00
1.90E+01,2.291E+01,-3.661E+01,8.451E+01,2.500E+00
2.00E+01,2.399E+01,-3.656E+01,8.582E+01,2.500E+00
2.10E+01,2.512E+01,-3.593E+01,8.416E+01,2.500E+00
2.20E+01,2.630E+01,-3.580E+01,8.357E+01,2.500E+00
2.30E+01,2.754E+01,-3.568E+01,8.469E+01,2.500E+00
2.40E+01,2.884E+01,-3.455E+01,8.473E+01,2.500E+00
2.50E+01,3.020E+01,-3.476E+01,8.669E+01,2.500E+00
2.60E+01,3.162E+01,-3.431E+01,8.944E+01,2.500E+00
2.70E+01,3.311E+01,-3.357E+01,8.687E+01,2.500E+00
2.80E+01,3.467E+01,-3.357E+01,8.950E+01,2.500E+00
2.90E+01,3.631E+01,-3.284E+01,8.519E+01,2.500E+00
3.00E+01,3.802E+01,-3.260E+01,8.661E+01,2.500E+00
3.10E+01,3.981E+01,-3.181E+01,8.666E+01,2.500E+00
3.20E+01,4.169E+01,-3.200E+01,8.382E+01,2.500E+00
3.30E+01,4.365E+01,-3.115E+01,8.553E+01,2.500E+00
3.40E+01,4.571E+01,-3.090E+01,8.677E+01,2.500E+00
3.50E+01,4.786E+01,-3.061E+01,8.900E+01,2.500E+00
3.60E+01,5.012E+01,-3.008E+01,8.412E+01,2.500E+00
3.70E+01,5.248E+01,-2.962E+01,8.675E+01,2.500E+00
3.80E+01,5.495E+01,-2.930E+01,8.522E+01,2.500E+00
3.90E+01,5.754E+01,-2.891E+01,8.413E+01,2.500E+00
4.00E+01,6.026E+01,-2.857E+01,8.438E+01,2.500E+00
4.10E+01,6.310E+01,-2.797E+01,8.277E+01,2.500E+00
4.20E+01,6.607E+01,-2.769E+01,8.322E+01,2.500E+00
4.30E+01,6.918E+01,-2.728E+01,8.302E+01,2.500E+00
4.40E+01,7.244E+01,-2.671E+01,8.415E+01,2.500E+00
4.50E+01,7.586E+01,-2.633E+01,8.334E+01,2.500E+00
4.60E+01,7.943E+01,-2.600E+01,8.264E+01,2.500E+00
4.70E+01,8.318E+01,-2.566E+01,8.098E+01,2.500E+00
4.80E+01,8.710E+01,-2.525E+01,8.358E+01,2.500E+00
4.90E+01,9.120E+01,-2.480E+01,8.173E+01,2.500E+00
5.00E+01,9.550E+01,-2.460E+01,8.119E+01,2.500E+00
5.10E+01,1.000E+02,-2.418E+01,8.119E+01,2.500E+00
5.20E+01,1.047E+02,-2.378E+01,8.133E+01,2.500E+00
