in Sa,Frequency in Hz,Gain in dB,Phase in °,Amplitude in Vpp
1.00E+00,1.000E+01,-5.203E+01,1.149E+02,2.500E+00
2.00E+00,1.047E+01,-5.043E+01,1.090E+02,2.500E+00
3.00E+00,1.096E+01,-5.006E+01,1.136E+02,2.500E+00
4.00E+00,1.148E+01,-4.958E+01,1.174E+02,2.500E+00
5.00E+00,1.202E+01,-4.828E+01,1.049E+02,2.500E+00
6.00E+00,1.259E+01,-4.667E+01,1.065E+02,2.500E+00
7.00E+00,1.318E+01,-4.695E+01,8.723E+01,2.500E+00
8.00E+00,1.380E+01,-4.717E+01,1.143E+02,2.500E+00
9.00E+00,1.445E+01,-4.784E+01,1.038E+02,2.500E+00
1.00E+01,1.514E+01,-4.713E+01,1.044E+02,2.500E+00
1.10E+01,1.585E+01,-4.480E+01,1.026E+02,2.500E+00
1.20E+01,1.660E+01,-4.749E+01,1.006E+02,2.500E+00
1.30E+01,1.738E+01,-4.628E+01,1.056E+02,2.500E+00
1.40E+01,1.820E+01,-4.692E+01,9.501E+01,2.500E+00
1.50E+01,1.905E+01,-4.497E+01,1.049E+02,2.500E+00
1.60E+01,1.995E+01,-4.505E+01,8.538E+01,2.500E+00
1.70E+01,2.089E+01,-4.315E+01,8.804E+01,2.500E+00
1.80E+01,2.188E+01,-4.538E+01,8.958E+01,2.500E+00
1.90E+01,2.291E+01,-4.209E+01,9.914E+01,2.500E+00
2.00E+01,2.399E+01,-4.274E+01,1.010E+02,2.500E+00
2.10E+01,2.512E+01,-4.151E+01,8.873E+01,2.500E+00
2.20E+01,2.630E+01,-4.057E+01,9.725E+01,2.500E+00
2.30E+01,2.754E+01,-4.113E+01,1.001E+02,2.500E+00
2.40E+01,2.884E+01,-4.016E+01,9.469E+01,2.500E+00
2.50E+01,3.020E+01,-4.078E+01,8.958E+01,2.500E+00
2.60E+01,3.162E+01,-4.099E+01,8.050E+01,2.500E+00
2.70E+01,3.311E+01,-4.012E+01,9.454E+01,2.500E+00
2.80E+01,3.467E+01,-3.998E+01,9.012E+01,2.500E+00
2.90E+01,3.631E+01,-3.950E+01,9.410E+01,2.500E+00
3.00E+01,3.802E+01,-3.945E+01,8.310E+01,2.500E+00
3.10E+01,3.981E+01,-4.002E+01,8.743E+01,2.500E+00
3.20E+01,4.169E+01,-3.835E+01,8.939E+01,2.500E+00
3.30E+01,4.365E+01,-3.849E+01,9.331E+01,2.500E+00
3.40E+01,4.571E+01,-3.896E+01,9.007E+01,2.500E+00
3.50E+01,4.786E+01,-3.833E+01,9.542E+01,2.500E+00
3.60E+01,5.012E+01,-3.694E+01,8.366E+01,2.500E+00
3.70E+01,5.248E+01,-3.630E+01,8.351E+01,2.500E+00
3.80E+01,5.495E+01,-3.629E+01,8.666E+01,2.500E+00
3.90E+01,5.754E+01,-3.761E+01,8.960E+01,2.500E+00
4.00E+01,6.026E+01,-3.642E+01,8.992E+01,2.500E+00
4.10E+01,6.310E+01,-3.522E+01,9.122E+01,2.500E+00
4.20E+01,6.607E+01,-3.436E+01,8.593E+01,2.500E+00
4.30E+01,6.918E+01,-3.461E+01,9.121E+01,2.500E+00
4.40E+01,7.244E+01,-3.422E+01,9.227E+01,2.500E+00
4.50E+01,7.586E+01,-3.413E+01,9.077E+01,2.500E+00
4.60E+01,7.943E+01,-3.387E+01,9.067E+01,2.500E+00
4.70E+01,8.318E+01,-3.261E+01,9.000E+01,2.500E+00
4.80E+01,8.710E+01,-3.184E+01,8.833E+01,2.500E+00
4.90E+01,9.120E+01,-3.209E+01,9.121E+01,2.500E+00
5.00E+01,9.550E+01,-3.166E+01,8.432E+01,2.500E+00
5.10E+01,1.000E+02,-3.228E+01,9.223E+01,2.500E+00
5.20E+01,1.047E+02,-3.124E+01,8.545E+01,2.500E+00
5.30E+01,1.096E+02,-3.149E+01,8.974E+01,2.500E+00
5.40E+01,1.148E+02,-2.945E+01,9.121E+01,2.500E+00
5.50E+01,1.202E+02,-2.945E+01,8.716E+01,2.500E+00
5.60E+01,1.259E+02,-2.983E+01,9.188E+01,2.500E+00
5.70E+01,1.318E+02,-2.962E+01,9.171E+01,2.500E+00
5.80E+01,1.380E+02,-2.906E+01,8.902E+01,2.500E+00
5.90E+01,1.445E+02,-2.858E+01,8.689E+01,2.500E+00
6.00E+01,1.514E+02,-2.817E+01,8.663E+01,2.500E+00
6.10E+01,1.585E+02,-2.766E+01,8.667E+01,2.500E+00
6.20E+01,1.660E+02,-2.719E+01,8.746E+01,2.500E+00
6.30E+01,1.738E+02,-2.672E+01,8.954E+01,2.500E+00
6.40E+01,1.820E+02,-2.626E+01,8.962E+01,2.500E+00
6.50E+01,1.905E+02,-2.574E+01,8.780E+01,2.500E+00
6.60E+01,1.995E+02,-2.602E+01,8.662E+01,2.500E+00
6.70E+01,2.089E+02,-2.448E+01,9.112E+01,2.500E+00
6.80E+01,2.188E+02,-2.499E+01,8.833E+01,2.500E+00
6.90E+01,2.291E+02,-2.404E+01,9.132E+01,2.500E+00
7.00E+01,2.399E+02,-2.329E+01,8.774E+01,2.500E+00
7.10E+01,2.512E+02,-2.332E+01,8.800E+01,2.500E+00
7.20E+01,2.630E+02,-2.303E+01,8.742E+01,2.500E+00
7.30E+01,2.754E+02,-2.256E+01,8.626E+01,2.500E+00
7.40E+01,2.884E+02,-2.203E+01,8.696E+01,2.500E+00
7.50E+01,3.020E+02,-2.133E+01,8.837E+01,2.500E+00
7.60E+01,3.162E+02,-2.121E+01,8.773E+01,2.500E+00
7.70E+01,3.311E+02,-2.084E+01,8.606E+01,2.500E+00
7.80E+01,3.467E+02,-2.067E+01,8.717E+01,2.500E+00
7.90E+01,3.631E+02,-2.031E+01,8.699E+01,2.500E+00
