in Sa,Frequency in Hz,Gain in dB,Phase in °,Amplitude in Vpp
1.00E+00,1.000E+01,7.072E+00,-1.243E+02,2.500E+00
2.00E+00,1.047E+01,7.201E+00,-1.260E+02,2.500E+00
3.00E+00,1.096E+01,7.323E+00,-1.268E+02,2.500E+00
4.00E+00,1.148E+01,7.485E+00,-1.282E+02,2.500E+00
5.00E+00,1.202E+01,7.558E+00,-1.288E+02,2.500E+00
6.00E+00,1.259E+01,7.726E+00,-1.309E+02,2.500E+00
7.00E+00,1.318E+01,7.871E+00,-1.321E+02,2.500E+00
8.00E+00,1.380E+01,7.995E+00,-1.332E+02,2.500E+00
9.00E+00,1.445E+01,8.025E+00,-1.336E+02,2.500E+00
1.00E+01,1.514E+01,8.201E+00,-1.355E+02,2.500E+00
1.10E+01,1.585E+01,8.250E+00,-1.360E+02,2.500E+00
1.20E+01,1.660E+01,8.324E+00,-1.373E+02,2.500E+00
1.30E+01,1.738E+01,8.414E+00,-1.381E+02,2.500E+00
1.40E+01,1.820E+01,8.546E+00,-1.395E+02,2.500E+00
1.50E+01,1.905E+01,8.578E+00,-1.407E+02,2.500E+00
1.60E+01,1.995E+01,8.648E+00,-1.410E+02,2.500E+00
1.70E+01,2.089E+01,8.704E+00,-1.412E+02,2.500E+00
1.80E+01,2.188E+01,8.798E+00,-1.423E+02,2.500E+00
1.90E+01,2.291E+01,8.886E+00,-1.429E+02,2.500E+00
2.00E+01,2.399E+01,8.984E+00,-1.450E+02,2.500E+00
2.10E+01,2.512E+01,9.009E+00,-1.444E+02,2.500E+00
2.20E+01,2.630E+01,9.069E+00,-1.454E+02,2.500E+00
2.30E+01,2.754E+01,9.131E+00,-1.461E+02,2.500E+00
2.40E+01,2.884E+01,9.269E+00,-1.483E+02,2.500E+00
2.50E+01,3.020E+01,7.634E+00,-1.678E+02,2.500E+00
2.60E+01,3.162E+01,7.669E+00,-1.683E+02,2.500E+00
2.70E+01,3.311E+01,7.653E+00,-1.688E+02,2.500E+00
2.80E+01,3.467E+01,7.680E+00,-1.694E+02,2.500E+00
2.90E+01,3.631E+01,7.701E+00,-1.699E+02,2.500E+00
3.00E+01,3.802E+01,7.729E+00,-1.705E+02,2.500E+00
3.10E+01,3.981E+01,7.731E+00,-1.708E+02,2.500E+00
3.20E+01,4.169E+01,7.742E+00,-1.715E+02,2.500E+00
3.30E+01,4.365E+01,7.767E+00,-1.716E+02,2.500E+00
