in Sa,Frequency in Hz,Gain in dB,Phase in °,Amplitude in Vpp
1.00E+00,1.000E+01,-2.244E+01,8.429E+01,2.500E+00
2.00E+00,1.047E+01,-2.133E+01,8.804E+01,2.500E+00
3.00E+00,1.096E+01,-2.145E+01,9.238E+01,2.500E+00
4.00E+00,1.148E+01,-2.016E+01,8.291E+01,2.500E+00
5.00E+00,1.202E+01,-2.015E+01,8.606E+01,2.500E+00
6.00E+00,1.259E+01,-2.059E+01,8.808E+01,2.500E+00
7.00E+00,1.318E+01,-1.918E+01,8.835E+01,2.500E+00
8.00E+00,1.380E+01,-1.924E+01,8.926E+01,2.500E+00
9.00E+00,1.445E+01,-1.913E+01,9.090E+01,2.500E+00
1.00E+01,1.514E+01,-1.825E+01,8.309E+01,2.500E+00
1.10E+01,1.585E+01,-1.767E+01,8.183E+01,2.500E+00
1.20E+01,1.660E+01,-1.702E+01,8.434E+01,2.500E+00
1.30E+01,1.738E+01,-1.672E+01,8.778E+01,2.500E+00
1.40E+01,1.820E+01,-1.662E+01,8.624E+01,2.500E+00
1.50E+01,1.905E+01,-1.637E+01,8.828E+01,2.500E+00
1.60E+01,1.995E+01,-1.554E+01,8.613E+01,2.500E+00
1.70E+01,2.089E+01,-1.560E+01,8.200E+01,2.500E+00
1.80E+01,2.188E+01,-1.511E+01,8.603E+01,2.500E+00
1.90E+01,2.291E+01,-1.501E+01,8.700E+01,2.500E+00
2.00E+01,2.399E+01,-1.428E+01,8.355E+01,2.500E+00
2.10E+01,2.512E+01,-1.401E+01,8.662E+01,2.500E+00
2.20E+01,2.630E+01,-1.374E+01,8.278E+01,2.500E+00
2.30E+01,2.754E+01,-1.333E+01,8.953E+01,2.500E+00
2.40E+01,2.884E+01,-1.311E+01,8.538E+01,2.500E+00
2.50E+01,3.020E+01,-1.253E+01,8.402E+01,2.500E+00
2.60E+01,3.162E+01,-1.221E+01,8.385E+01,2.500E+00
2.70E+01,3.311E+01,-1.206E+01,8.078E+01,2.500E+00
2.80E+01,3.467E+01,-1.140E+01,7.928E+01,2.500E+00
2.90E+01,3.631E+01,-1.112E+01,8.058E+01,2.500E+00
3.00E+01,3.802E+01,-1.062E+01,8.084E+01,2.500E+00
3.10E+01,3.981E+01,-1.009E+01,8.142E+01,2.500E+00
3.20E+01,4.169E+01,-1.022E+01,8.126E+01,2.500E+00
3.30E+01,4.365E+01,-9.537E+00,8.010E+01,2.500E+00
3.40E+01,4.571E+01,-9.112E+00,7.922E+01,2.500E+00
3.50E+01,4.786E+01,-8.862E+00,8.013E+01,2.500E+00
3.60E+01,5.012E+01,-8.555E+00,8.110E+01,2.500E+00
3.70E+01,5.248E+01,-7.807E+00,8.112E+01,2.500E+00
3.80E+01,5.495E+01,-7.911E+00,8.270E+01,2.500E+00
3.90E+01,5.754E+01,-6.940E+00,7.884E+01,2.500E+00
4.00E+01,6.026E+01,-7.001E+00,7.839E+01,2.500E+00
4.10E+01,6.310E+01,-6.546E+00,8.006E+01,2.500E+00
4.20E+01,6.607E+01,-6.235E+00,7.973E+01,2.500E+00
4.30E+01,6.918E+01,-5.834E+00,7.959E+01,2.500E+00
4.40E+01,7.244E+01,-5.316E+00,7.967E+01,2.500E+00
4.50E+01,7.586E+01,-4.892E+00,7.855E+01,2.500E+00
4.60E+01,7.943E+01,-4.514E+00,7.744E+01,2.500E+00
4.70E+01,8.318E+01,-4.267E+00,7.823E+01,2.500E+00
4.80E+01,8.710E+01,-3.701E+00,7.742E+01,2.500E+00
4.90E+01,9.120E+01,-3.630E+00,7.931E+01,2.500E+00
5.00E+01,9.550E+01,-3.148E+00,7.886E+01,2.500E+00
5.10E+01,1.000E+02,-2.993E+00,7.777E+01,2.500E+00
5.20E+01,1.047E+02,-2.297E+00,7.661E+01,2.500E+00
5.30E+01,1.096E+02,-1.707E+00,7.567E+01,2.500E+00
5.40E+01,1.148E+02,-1.793E+00,7.617E+01,2.500E+00
5.50E+01,1.202E+02,-1.377E+00,7.568E+01,2.500E+00
5.60E+01,1.259E+02,-7.608E-01,7.521E+01,2.500E+00
5.70E+01,1.318E+02,-4.293E-01,7.370E+01,2.500E+00
5.80E+01,1.380E+02,9.952E-02,7.500E+01,2.500E+00
5.90E+01,1.445E+02,1.786E-01,7.366E+01,2.500E+00
6.00E+01,1.514E+02,6.356E-01,7.265E+01,2.500E+00
6.10E+01,1.585E+02,9.738E-01,7.267E+01,2.500E+00
6.20E+01,1.660E+02,1.432E+00,7.236E+01,2.500E+00
6.30E+01,1.738E+02,1.866E+00,7.087E+01,2.500E+00
6.40E+01,1.820E+02,2.172E+00,7.045E+01,2.500E+00
6.50E+01,1.905E+02,2.455E+00,7.082E+01,2.500E+00
6.60E+01,1.995E+02,3.040E+00,6.939E+01,2.500E+00
6.70E+01,2.089E+02,3.292E+00,6.867E+01,2.500E+00
6.80E+01,2.188E+02,3.625E+00,6.708E+01,2.500E+00
6.90E+01,2.291E+02,3.951E+00,6.673E+01,2.500E+00
7.00E+01,2.399E+02,4.314E+00,6.491E+01,2.500E+00
7.10E+01,2.512E+02,4.708E+00,6.468E+01,2.500E+00
7.20E+01,2.630E+02,4.903E+00,6.363E+01,2.500E+00
7.30E+01,2.754E+02,5.376E+00,6.238E+01,2.500E+00
7.40E+01,2.884E+02,5.625E+00,6.199E+01,2.500E+00
7.50E+01,3.020E+02,5.945E+00,6.096E+01,2.500E+00
7.60E+01,3.162E+02,6.336E+00,5.949E+01,2.500E+00
7.70E+01,3.311E+02,6.582E+00,5.811E+01,2.500E+00
7.80E+01,3.467E+02,6.930E+00,5.682E+01,2.500E+00
7.90E+01,3.631E+02,7.257E+00,5.603E+01,2.500E+00
8.00E+01,3.802E+02,7.556E+00,5.423E+01,2.500E+00
8.10E+01,3.981E+02,7.863E+00,5.274E+01,2.500E+00
8.20E+01,4.169E+02,8.009E+00,5.208E+01,2.500E+00
8.30E+01,4.365E+02,8.283E+00,5.002E+01,2.500E+00
8.40E+01,4.571E+02,8.694E+00,4.877E+01,2.500E+00
8.50E+01,4.786E+02,8.993E+00,4.734E+01,2.500E+00
8.60E+01,5.012E+02,9.130E+00,4.568E+01,2.500E+00
8.70E+01,5.248E+02,9.412E+00,4.421E+01,2.500E+00
8.80E+01,5.495E+02,9.662E+00,4.332E+01,2.500E+00
8.90E+01,5.754E+02,9.843E+00,4.117E+01,2.500E+00
9.00E+01,6.026E+02,1.004E+01,3.946E+01,2.500E+00
9.10E+01,6.310E+02,1.018E+01,3.773E+01,2.500E+00
9.20E+01,6.607E+02,1.043E+01,3.625E+01,2.500E+00
9.30E+01,6.918E+02,1.054E+01,3.531E+01,2.500E+00
9.40E+01,7.244E+02,1.072E+01,3.301E+01,2.500E+00
9.50E+01,7.586E+02,1.084E+01,3.154E+01,2.500E+00
9.60E+01,7.943E+02,1.104E+01,2.970E+01,2.500E+00
9.70E+01,8.318E+02,1.111E+01,2.790E+01,2.500E+00
9.80E+01,8.710E+02,1.126E+01,2.634E+01,2.500E+00
9.90E+01,9.120E+02,1.133E+01,2.502E+01,2.500E+00
1.00E+02,9.550E+02,1.144E+01,2.285E+01,2.500E+00
1.01E+02,1.000E+03,1.153E+01,2.155E+01,2.500E+00
1.02E+02,1.047E+03,1.162E+01,1.991E+01,2.500E+00
1.03E+02,1.096E+03,1.166E+01,1.828E+01,2.500E+00
1.04E+02,1.148E+03,1.174E+01,1.663E+01,2.500E+00
1.05E+02,1.202E+03,1.175E+01,1.523E+01,2.500E+00
1.06E+02,1.259E+03,1.182E+01,1.378E+01,2.500E+00
