vframe,vc1,vc2,q1,q2,cg12,cg21,cl12,cl21
0,1,-1,1.0263118169002204e-11,-1.0037814479803825e-11,-4.943088305381231e-12,-4.9430883053812295e-12,4.943088305381231e-12,4.9430883053812295e-12
10,1,-1,8.27842094841472e-12,-1.0699906264483396e-11,-4.94308830538123e-12,-4.94308830538123e-12,4.94308830538123e-12,4.94308830538123e-12
20,1,-1,6.2937103559188695e-12,-1.136200152129633e-11,-4.943088305381231e-12,-4.943088305381231e-12,4.943088305381231e-12,4.943088305381231e-12
30,1,-1,4.309004700748278e-12,-1.2024088118727129e-11,-4.943088305381231e-12,-4.94308830538123e-12,4.943088305381231e-12,4.94308830538123e-12
40,1,-1,2.3242781726131074e-12,-1.2686160834035883e-11,-4.943088305381231e-12,-4.943088305381231e-12,4.943088305381231e-12,4.943088305381231e-12
50,1,-1,3.395719894921646e-13,-1.3348239616319144e-11,-4.943088305381232e-12,-4.943088305381232e-12,4.943088305381232e-12,4.943088305381232e-12
60,1,-1,-1.6450776365620846e-12,-1.4010280564379865e-11,-4.943088305381231e-12,-4.943088305381231e-12,4.943088305381231e-12,4.943088305381231e-12
70,1,-1,-3.6297810304186167e-12,-1.4672366969772907e-11,-4.94308830538123e-12,-4.94308830538123e-12,4.94308830538123e-12,4.94308830538123e-12
80,1,-1,-5.614481739957321e-12,-1.5334455848555638e-11,-4.943088305381232e-12,-4.943088305381232e-12,4.943088305381232e-12,4.943088305381232e-12
90,1,-1,-7.59918036923026e-12,-1.599654640692845e-11,-4.943088305381232e-12,-4.94308830538123e-12,4.943088305381232e-12,4.94308830538123e-12
100,1,-1,-9.583877335363391e-12,-1.6658638204174114e-11,-4.943088305381231e-12,-4.943088305381231e-12,4.943088305381231e-12,4.943088305381231e-12
